公司名字,年度,期间费用,财务费用,销售费用,管理费用,营业收入
凤形股份,2017-12-31,8562万,336万,4668万,3557万,3.68亿
凤形股份,2016-12-31,7510万,471万,3353万,3687万,3.07亿
安德利,2018-12-31,3.30亿,2163万,2.56亿,5300万,18.0亿
安德利,2017-12-31,2.80亿,1922万,2.16亿,4417万,17.1亿
安德利,2016-12-31,2.49亿,2590万,1.83亿,4035万,15.4亿
海螺水泥,2018-12-31,70.1亿,-4.74亿,37.3亿,37.5亿,1284亿
海螺水泥,2017-12-31,72.0亿,2.16亿,35.7亿,34.2亿,753亿
海螺水泥,2016-12-31,67.6亿,3.37亿,32.8亿,31.4亿,559亿
金禾实业,2018-12-31,2.44亿,3450万,1.30亿,7974万,41.3亿
金禾实业,2017-12-31,3.36亿,5513万,1.75亿,1.07亿,44.8亿
金禾实业,2016-12-31,3.35亿,1215万,2.14亿,1.09亿,37.6亿
皖维高新,2018-12-31,5.29亿,1.44亿,1.89亿,1.96亿,58.6亿
皖维高新,2017-12-31,4.86亿,1.14亿,1.68亿,2.03亿,47.1亿
皖维高新,2016-12-31,5.50亿,7212万,1.20亿,3.58亿,35.4亿
开润股份,2018-12-31,2.68亿,-514万,1.90亿,8326万,20.5亿
开润股份,2017-12-31,1.62亿,681万,9774万,5750万,11.6亿
开润股份,2016-12-31,1.31亿,-611万,6290万,7431万,7.76亿
司尔特,2018-12-31,3.18亿,3046万,1.46亿,1.41亿,31.3亿
司尔特,2017-12-31,2.75亿,2699万,1.32亿,1.16亿,26.0亿
司尔特,2016-12-31,2.94亿,3342万,1.35亿,1.26亿,28.2亿
美亚光电,2018-12-31,2.13亿,-868万,1.70亿,5145万,12.4亿
美亚光电,2017-12-31,1.85亿,-217万,1.44亿,4308万,10.9亿
美亚光电,2016-12-31,1.94亿,-1185万,1.14亿,9170万,9.01亿
*ST德豪,2018-12-31,8.24亿,1.50亿,1.86亿,4.88亿,40.0亿
*ST德豪,2017-12-31,11.9亿,3.69亿,1.79亿,6.48亿,42.0亿
*ST德豪,2016-12-31,8.96亿,1.19亿,2.34亿,5.44亿,40.5亿
融捷健康,2018-12-31,1.99亿,430万,9263万,1.02亿,10.6亿
融捷健康,2017-12-31,1.77亿,1510万,7763万,8443万,12.2亿
融捷健康,2016-12-31,1.45亿,-43.7万,4963万,9577万,6.00亿
嘉美包装,2018-12-31,2.91亿,8000万,6624万,1.44亿,29.6亿
嘉美包装,2017-12-31,3.72亿,6661万,6545万,2.40亿,27.5亿
嘉美包装,2016-12-31,2.75亿,7796万,6709万,1.30亿,29.4亿
皖能电力,2018-12-31,4.75亿,4.23亿,317万,4939万,134亿
皖能电力,2017-12-31,3.82亿,3.36亿,188万,4392万,122亿
皖能电力,2016-12-31,3.33亿,2.91亿,18.3万,4187万,106亿
常青股份,2018-12-31,1.67亿,2845万,5063万,8788万,18.7亿
常青股份,2017-12-31,1.48亿,2088万,4535万,8135万,19.2亿
常青股份,2016-12-31,1.93亿,2230万,3711万,1.34亿,14.9亿
神剑股份,2018-12-31,1.54亿,1936万,7132万,6309万,19.4亿
神剑股份,2017-12-31,1.21亿,792万,5790万,5558万,18.3亿
神剑股份,2016-12-31,1.46亿,280万,4925万,9426万,14.1亿
铜陵有色,2018-12-31,23.6亿,10.6亿,3.14亿,9.86亿,846亿
铜陵有色,2017-12-31,17.6亿,5.32亿,2.99亿,9.34亿,824亿
铜陵有色,2016-12-31,22.1亿,10.4亿,2.50亿,9.23亿,867亿
鸿路钢构,2018-12-31,5.10亿,1.23亿,1.73亿,2.13亿,78.7亿
鸿路钢构,2017-12-31,3.89亿,9729万,1.34亿,1.57亿,50.3亿
鸿路钢构,2016-12-31,3.87亿,9308万,1.04亿,1.90亿,36.2亿
黄山旅游,2018-12-31,3.73亿,178万,1.09亿,2.63亿,16.2亿
黄山旅游,2017-12-31,3.33亿,-473万,2751万,3.10亿,17.8亿
黄山旅游,2016-12-31,3.13亿,661万,1946万,2.86亿,16.7亿
精工钢构,2018-12-31,5.94亿,1.61亿,1.13亿,3.20亿,86.3亿
精工钢构,2017-12-31,5.88亿,1.48亿,1.40亿,3.00亿,65.3亿
