公司名字,年度,期间费用,财务费用,销售费用,管理费用,营业收入
日发精机,2017-12-31,3.67亿,5110万,1.04亿,2.12亿,15.5亿
日发精机,2016-12-31,2.21亿,-259万,1.02亿,1.22亿,7.84亿
浙数文化,2018-12-31,6.94亿,-666万,3.87亿,3.14亿,19.1亿
浙数文化,2017-12-31,5.26亿,-2943万,2.64亿,2.91亿,16.3亿
浙数文化,2016-12-31,8.37亿,-4200万,3.51亿,5.29亿,35.5亿
壹网壹创,2018-12-31,2.22亿,-82.2万,1.90亿,3239万,10.1亿
壹网壹创,2017-12-31,1.48亿,-50.9万,1.22亿,2637万,7.04亿
壹网壹创,2016-12-31,1.35亿,-15.3万,1.06亿,2950万,5.07亿
精功科技,2018-12-31,1.31亿,780万,4291万,8053万,10.0亿
精功科技,2017-12-31,1.07亿,589万,3661万,6482万,9.50亿
精功科技,2016-12-31,1.28亿,714万,2730万,9391万,6.98亿
宝鼎科技,2018-12-31,4490万,450万,469万,3571万,3.11亿
宝鼎科技,2017-12-31,5228万,770万,585万,3873万,2.39亿
宝鼎科技,2016-12-31,6904万,1092万,461万,5351万,1.80亿
阳光照明,2018-12-31,6.35亿,-3647万,3.00亿,3.72亿,56.2亿
阳光照明,2017-12-31,5.51亿,5907万,2.31亿,2.60亿,50.4亿
阳光照明,2016-12-31,5.95亿,-1.00亿,1.44亿,5.50亿,43.9亿
生 意 宝,2018-12-31,6858万,-1910万,6800万,1968万,4.27亿
生 意 宝,2017-12-31,7186万,-1380万,6239万,2327万,3.62亿
生 意 宝,2016-12-31,8385万,-908万,5452万,3841万,3.24亿
永兴材料,2018-12-31,1.38亿,1663万,4462万,7721万,47.9亿
永兴材料,2017-12-31,1.22亿,218万,4254万,7754万,40.3亿
永兴材料,2016-12-31,1.17亿,-689万,3461万,8962万,31.6亿
金龙机电,2018-12-31,6.04亿,3858万,1.14亿,4.51亿,33.7亿
金龙机电,2017-12-31,3.69亿,9616万,5254万,2.20亿,37.1亿
金龙机电,2016-12-31,3.29亿,2208万,3688万,2.70亿,33.8亿
浙江广厦,2018-12-31,1.09亿,-360万,5088万,6205万,8.09亿
浙江广厦,2017-12-31,1.44亿,1279万,7180万,5940万,8.22亿
浙江广厦,2016-12-31,1.88亿,2463万,9973万,6317万,17.4亿
润禾材料,2018-12-31,7439万,71.4万,4467万,2901万,6.52亿
润禾材料,2017-12-31,6218万,240万,3642万,2336万,4.61亿
润禾材料,2016-12-31,7055万,132万,2890万,4033万,3.01亿
牧高笛,2018-12-31,8226万,-454万,4821万,3860万,5.51亿
牧高笛,2017-12-31,8610万,600万,4199万,3811万,5.16亿
牧高笛,2016-12-31,7034万,-479万,3883万,3631万,4.31亿
博创科技,2018-12-31,1680万,-622万,390万,1912万,2.75亿
博创科技,2017-12-31,2557万,277万,392万,1888万,3.49亿
博创科技,2016-12-31,4542万,-296万,393万,4445万,3.18亿
永创智能,2018-12-31,2.87亿,2353万,1.76亿,8734万,16.5亿
永创智能,2017-12-31,2.44亿,2080万,1.49亿,7340万,13.8亿
永创智能,2016-12-31,2.24亿,285万,1.19亿,1.01亿,10.1亿
浙江世宝,2018-12-31,1.50亿,-44.7万,7835万,7202万,11.3亿
浙江世宝,2017-12-31,1.36亿,-52.0万,7111万,6515万,11.5亿
浙江世宝,2016-12-31,1.83亿,-184万,7055万,1.15亿,11.4亿
创源文化,2018-12-31,1.04亿,-905万,5375万,5939万,8.00亿
创源文化,2017-12-31,1.00亿,1661万,3706万,4656万,6.77亿
创源文化,2016-12-31,1.25亿,-386万,4080万,8826万,6.54亿
诺力股份,2018-12-31,2.63亿,-578万,1.10亿,1.59亿,25.5亿
诺力股份,2017-12-31,2.61亿,2027万,9680万,1.44亿,21.2亿
诺力股份,2016-12-31,1.78亿,-2060万,7078万,1.28亿,13.1亿
圣莱达,2018-12-31,3613万,74.6万,241万,3297万,1.47亿
圣莱达,2017-12-31,3732万,223万,332万,3178万,1.17亿
圣莱达,2016-12-31,3804万,51.8万,336万,3416万,9521万
同花顺,2018-12-31,1.82亿,-7141万,1.48亿,1.05亿,13.9亿
同花顺,2017-12-31,1.74亿,-6101万,1.24亿,1.11亿,14.1亿
同花顺,2016-12-31,4.53亿,-5321万,9688万,4.09亿,17.3亿
露笑科技,2018-12-31,2.42亿,8949万,4425万,1.08亿,30.2亿
露笑科技,2017-12-31,1.70亿,4735万,4489万,7785万,32.4亿
露笑科技,2016-12-31,9563万,1226万,1870万,6467万,14.0亿
康强电子,2018-12-31,1.25亿,3406万,1576万,7547万,14.8亿
康强电子,2017-12-31,1.23亿,3754万,1432万,7145万,13.0亿
康强电子,2016-12-31,1.54亿,2612万,1205万,1.16亿,12.0亿
天目药业,2018-12-31,1.22亿,887万,7453万,3823万,3.58亿
天目药业,2017-12-31,7525万,761万,3525万,3239万,1.76亿
天目药业,2016-12-31,5586万,742万,1809万,3035万,1.24亿
中威电子,2018-12-31,7292万,28.8万,3751万,3513万,3.07亿
中威电子,2017-12-31,7541万,61.6万,3966万,3513万,4.06亿
中威电子,2016-12-31,1.02亿,-22.7万,4057万,6128万,2.95亿
宁波东力,2018-12-31,5.35亿,2.77亿,1.11亿,1.48亿,118亿
宁波东力,2017-12-31,2.04亿,5816万,7754万,6806万,129亿
宁波东力,2016-12-31,1.12亿,2176万,3417万,5594万,5.15亿
东晶电子,2018-12-31,2503万,-12.2万,247万,2269万,1.77亿
东晶电子,2017-12-31,2588万,294万,257万,2038万,2.32亿
东晶电子,2016-12-31,1.15亿,4776万,472万,6271万,2.57亿
美盛文化,2018-12-31,1.31亿,1909万,2434万,8801万,7.78亿
美盛文化,2017-12-31,1.48亿,1919万,4052万,8846万,9.12亿
美盛文化,2016-12-31,1.40亿,-1314万,4671万,1.06亿,6.33亿
思美传媒,2018-12-31,2.93亿,217万,1.47亿,1.44亿,52.8亿
思美传媒,2017-12-31,2.91亿,743万,1.45亿,1.38亿,41.9亿
思美传媒,2016-12-31,2.42亿,4634,1.07亿,1.35亿,38.2亿
广博股份,2018-12-31,2.82亿,1462万,1.89亿,7849万,20.5亿
广博股份,2017-12-31,2.66亿,1468万,1.72亿,7967万,23.8亿
广博股份,2016-12-31,2.51亿,895万,1.52亿,9067万,16.4亿
天成自控,2018-12-31,1.74亿,1316万,5275万,1.08亿,9.58亿
天成自控,2017-12-31,7298万,-617万,4578万,3338万,7.83亿
天成自控,2016-12-31,7504万,-351万,2826万,5029万,3.61亿
XD福莱特,2018-12-31,2.48亿,161万,1.28亿,1.18亿,30.6亿
XD福莱特,2017-12-31,2.69亿,2849万,1.38亿,1.03亿,29.9亿
XD福莱特,2016-12-31,2.20亿,442万,1.08亿,1.08亿,29.7亿
