公司名字,年度,期间费用,财务费用,销售费用,管理费用,营业收入
新 华 都,2018-12-31,14.8亿,2135万,11.6亿,2.94亿,68.5亿
新 华 都,2017-12-31,14.7亿,1323万,11.5亿,3.02亿,69.7亿
新 华 都,2016-12-31,14.2亿,2165万,11.5亿,2.48亿,67.1亿
合兴包装,2018-12-31,9.51亿,1.19亿,4.81亿,3.50亿,122亿
合兴包装,2017-12-31,8.43亿,1.26亿,3.86亿,3.30亿,87.5亿
合兴包装,2016-12-31,5.52亿,8072万,2.50亿,2.21亿,45.6亿
三祥新材,2018-12-31,5385万,-117万,2357万,3144万,5.99亿
三祥新材,2017-12-31,3608万,-58.9万,1867万,1800万,4.08亿
三祥新材,2016-12-31,4366万,-103万,1551万,2918万,2.78亿
爱迪尔,2018-12-31,1.86亿,4561万,7972万,6064万,18.8亿
爱迪尔,2017-12-31,1.64亿,1908万,8823万,5674万,18.4亿
爱迪尔,2016-12-31,9289万,1084万,5660万,2545万,11.8亿
茶花股份,2018-12-31,9805万,-400万,6282万,3923万,7.63亿
茶花股份,2017-12-31,7397万,-943万,4511万,3829万,7.20亿
茶花股份,2016-12-31,8635万,-218万,4546万,4307万,6.71亿
中能电气,2018-12-31,2.23亿,4558万,9207万,8567万,9.96亿
中能电气,2017-12-31,2.22亿,3377万,1.01亿,8770万,8.06亿
中能电气,2016-12-31,2.44亿,1246万,9526万,1.36亿,10.0亿
鹭燕医药,2018-12-31,6.08亿,1.23亿,2.17亿,2.67亿,115亿
鹭燕医药,2017-12-31,4.29亿,7586万,1.68亿,1.85亿,83.4亿
鹭燕医药,2016-12-31,3.52亿,6542万,1.41亿,1.45亿,69.8亿
海欣食品,2018-12-31,3.24亿,-35.9万,2.57亿,6729万,11.4亿
海欣食品,2017-12-31,3.02亿,4.82万,2.31亿,7052万,9.68亿
海欣食品,2016-12-31,2.66亿,-44.8万,1.99亿,6763万,9.25亿
合诚股份,2018-12-31,1.22亿,807万,1493万,9920万,6.30亿
合诚股份,2017-12-31,4937万,-92.9万,899万,4130万,3.44亿
合诚股份,2016-12-31,4531万,-28.4万,567万,3993万,2.90亿
福晶科技,2018-12-31,6852万,-433万,961万,6325万,4.91亿
福晶科技,2017-12-31,7122万,327万,920万,5875万,4.54亿
福晶科技,2016-12-31,7643万,-456万,676万,7423万,3.08亿
ST厦华,2018-12-31,1640万,186万,289万,1165万,3096万
ST厦华,2017-12-31,1393万,149万,130万,1113万,1742万
ST厦华,2016-12-31,1136万,-552万,41.5万,1646万,3.73亿
元力股份,2018-12-31,2.43亿,1900万,1.30亿,9396万,17.0亿
元力股份,2017-12-31,1.38亿,1396万,5886万,6528万,8.53亿
元力股份,2016-12-31,1.32亿,300万,4615万,8276万,6.53亿
海峡环保,2018-12-31,9237万,3599万,--,5637万,4.82亿
海峡环保,2017-12-31,6083万,1561万,--,4522万,3.49亿
海峡环保,2016-12-31,7321万,3393万,--,3929万,3.30亿
阳 光 城,2018-12-31,39.5亿,6.14亿,17.6亿,15.8亿,565亿
阳 光 城,2017-12-31,22.7亿,1.28亿,9.61亿,11.8亿,332亿
阳 光 城,2016-12-31,12.0亿,4165万,4.84亿,6.78亿,196亿
金龙汽车,2018-12-31,15.1亿,1201万,10.3亿,4.72亿,183亿
金龙汽车,2017-12-31,17.1亿,2.00亿,10.5亿,4.57亿,177亿
金龙汽车,2016-12-31,26.1亿,-7920万,16.3亿,10.6亿,218亿
松霖科技,2018-12-31,1.62亿,-3001万,7031万,1.21亿,17.6亿
松霖科技,2017-12-31,2.37亿,2022万,6298万,1.54亿,17.4亿
松霖科技,2016-12-31,1.36亿,-2758万,5143万,1.12亿,14.7亿
天马科技,2018-12-31,1.25亿,4521万,4194万,3748万,15.1亿
天马科技,2017-12-31,8595万,1464万,3625万,3505万,11.4亿
天马科技,2016-12-31,1.01亿,1754万,2740万,5603万,8.44亿
海源复材,2018-12-31,1.19亿,1820万,4954万,5125万,2.41亿
海源复材,2017-12-31,7377万,878万,3020万,3480万,2.72亿
海源复材,2016-12-31,7769万,307万,2664万,4798万,2.05亿
德艺文创,2018-12-31,4172万,-862万,3593万,1441万,5.58亿
德艺文创,2017-12-31,4850万,337万,3066万,1448万,4.71亿
德艺文创,2016-12-31,4511万,-407万,2555万,2363万,3.53亿
闽东电力,2018-12-31,2.09亿,6782万,284万,1.38亿,5.58亿
闽东电力,2017-12-31,2.04亿,7211万,462万,1.28亿,9.01亿
闽东电力,2016-12-31,2.52亿,7493万,260万,1.74亿,6.45亿
厦门钨业,2018-12-31,13.9亿,3.95亿,3.48亿,6.50亿,196亿
厦门钨业,2017-12-31,11.3亿,3.01亿,2.97亿,5.33亿,142亿
厦门钨业,2016-12-31,11.5亿,1.59亿,2.43亿,7.51亿,85.3亿
盈趣科技,2018-12-31,1.24亿,-4314万,4822万,1.19亿,27.8亿
盈趣科技,2017-12-31,2.10亿,7092万,4671万,9208万,32.7亿
盈趣科技,2016-12-31,1.66亿,-3615万,2114万,1.81亿,16.5亿
厦门港务,2018-12-31,3.37亿,1.07亿,3404万,1.96亿,134亿
厦门港务,2017-12-31,2.72亿,5387万,3308万,1.85亿,137亿
厦门港务,2016-12-31,2.06亿,-52.7万,2428万,1.82亿,89.9亿
惠泉啤酒,2018-12-31,7150万,-70.3万,2743万,4477万,5.52亿
惠泉啤酒,2017-12-31,8878万,-75.0万,4400万,4553万,5.69亿
惠泉啤酒,2016-12-31,1.45亿,-35.1万,8597万,5898万,6.18亿
天广中茂,2018-12-31,2.32亿,8683万,2624万,1.19亿,21.1亿
天广中茂,2017-12-31,2.22亿,6983万,3436万,1.18亿,33.9亿
天广中茂,2016-12-31,1.78亿,2222万,3753万,1.18亿,23.8亿
凤竹纺织,2018-12-31,7552万,1264万,2570万,3719万,10.0亿
凤竹纺织,2017-12-31,6285万,992万,2229万,3064万,8.21亿
凤竹纺织,2016-12-31,6930万,532万,1868万,4531万,7.62亿
安记食品,2018-12-31,5166万,-712万,3542万,2337万,3.39亿
安记食品,2017-12-31,3930万,-643万,2912万,1661万,2.54亿
安记食品,2016-12-31,4541万,-503万,2450万,2594万,2.59亿
弘信电子,2018-12-31,1.11亿,3801万,2765万,4486万,22.5亿
弘信电子,2017-12-31,9161万,3555万,1960万,3646万,14.8亿
弘信电子,2016-12-31,1.03亿,2235万,1458万,6637万,10.5亿
太阳电缆,2018-12-31,2.95亿,8020万,1.36亿,7860万,51.0亿
太阳电缆,2017-12-31,2.20亿,4498万,9692万,7775万,40.9亿
太阳电缆,2016-12-31,2.50亿,5512万,9886万,9573万,34.8亿
南威软件,2018-12-31,2.13亿,-271万,5697万,1.58亿,9.79亿
南威软件,2017-12-31,1.44亿,58.2万,4095万,1.03亿,8.07亿
南威软件,2016-12-31,1.13亿,-220万,2871万,8652万,4.68亿
广生堂,2018-12-31,2.53亿,-458万,2.10亿,4732万,4.02亿
广生堂,2017-12-31,1.60亿,-1196万,1.39亿,3265万,2.96亿
广生堂,2016-12-31,1.92亿,-1035万,1.11亿,9142万,3.13亿
