公司名字,年度,期间费用,财务费用,销售费用,管理费用,营业收入
大众公用,2018-12-31,8.52亿,2.56亿,1.99亿,3.97亿,50.7亿
大众公用,2017-12-31,9.24亿,3.54亿,1.87亿,3.83亿,47.0亿
大众公用,2016-12-31,7.07亿,1.55亿,1.68亿,3.84亿,45.3亿
上海亚虹,2018-12-31,6053万,167万,2420万,3467万,6.37亿
上海亚虹,2017-12-31,5149万,185万,2054万,2910万,5.74亿
上海亚虹,2016-12-31,5610万,146万,1628万,3836万,4.71亿
上海雅仕,2018-12-31,8231万,244万,3265万,4722万,17.5亿
上海雅仕,2017-12-31,7104万,234万,2480万,4390万,17.0亿
上海雅仕,2016-12-31,6170万,366万,2225万,3580万,13.2亿
上实发展,2018-12-31,7.00亿,2.52亿,1.63亿,2.86亿,86.6亿
上实发展,2017-12-31,7.19亿,2.30亿,2.19亿,2.69亿,73.4亿
上实发展,2016-12-31,6.47亿,1.90亿,2.07亿,2.49亿,64.9亿
嘉麟杰,2018-12-31,1.88亿,482万,1.09亿,7390万,8.79亿
嘉麟杰,2017-12-31,2.29亿,4248万,8511万,1.02亿,8.83亿
嘉麟杰,2016-12-31,2.64亿,3664万,8235万,1.45亿,7.28亿
天海防务,2018-12-31,1.04亿,-1621万,1339万,1.07亿,10.3亿
天海防务,2017-12-31,1.13亿,954万,1045万,9342万,14.8亿
天海防务,2016-12-31,1.26亿,459万,1203万,1.10亿,15.2亿
科大智能,2018-12-31,4.88亿,1486万,2.20亿,2.53亿,35.9亿
科大智能,2017-12-31,3.63亿,2.88万,1.75亿,1.88亿,25.6亿
科大智能,2016-12-31,3.28亿,-96.0万,1.08亿,2.21亿,17.3亿
丰华股份,2018-12-31,1532万,-9.58万,319万,1223万,8331万
丰华股份,2017-12-31,1860万,-14.5万,338万,1537万,9451万
丰华股份,2016-12-31,1960万,-10.5万,421万,1550万,1.05亿
泛微网络,2018-12-31,7.79亿,-2333万,7.18亿,8436万,10.0亿
泛微网络,2017-12-31,5.62亿,-136万,5.03亿,6108万,7.04亿
泛微网络,2016-12-31,4.23亿,-105万,3.24亿,9936万,4.61亿
恒为科技,2018-12-31,6144万,-283万,1460万,4966万,4.31亿
恒为科技,2017-12-31,3753万,-43.3万,987万,2809万,3.12亿
