公司名字,年度,期间费用,财务费用,销售费用,管理费用,营业收入
恒久科技,2016-12-31,1528万,-981万,917万,1592万,2.75亿
海星股份,2018-12-31,8302万,-1207万,3981万,5529万,10.9亿
海星股份,2017-12-31,8639万,870万,3252万,4516万,9.60亿
海星股份,2016-12-31,5945万,-371万,2382万,3935万,7.56亿
紫金银行,2018-12-31,--,--,--,--,42.3亿
紫金银行,2017-12-31,--,--,--,--,36.2亿
紫金银行,2016-12-31,--,--,--,--,34.4亿
苏州银行,2018-12-31,--,--,--,--,77.4亿
苏州银行,2017-12-31,--,--,--,--,69.0亿
苏州银行,2016-12-31,--,--,--,--,70.1亿
新泉股份,2018-12-31,2.97亿,1917万,1.51亿,1.26亿,34.1亿
新泉股份,2017-12-31,3.09亿,452万,1.87亿,1.17亿,31.0亿
新泉股份,2016-12-31,2.61亿,1382万,1.08亿,1.39亿,17.1亿
诚迈科技,2018-12-31,7876万,-99.8万,2084万,5891万,5.34亿
诚迈科技,2017-12-31,7810万,-63.9万,1608万,6265万,4.86亿
诚迈科技,2016-12-31,1.16亿,45.4万,1417万,1.02亿,5.06亿
风范股份,2018-12-31,1.92亿,3491万,8274万,7443万,19.9亿
风范股份,2017-12-31,2.16亿,5286万,8953万,7314万,22.1亿
风范股份,2016-12-31,2.45亿,4380万,1.05亿,9595万,25.1亿
德威新材,2018-12-31,2.30亿,1.00亿,4838万,8131万,21.9亿
德威新材,2017-12-31,2.11亿,7463万,5754万,7931万,17.9亿
德威新材,2016-12-31,1.65亿,4144万,4788万,7605万,15.8亿
丹化科技,2018-12-31,2.59亿,1868万,9100万,1.49亿,14.3亿
丹化科技,2017-12-31,2.53亿,2731万,8943万,1.36亿,13.3亿
丹化科技,2016-12-31,3.20亿,6398万,7939万,1.76亿,7.12亿
晶方科技,2018-12-31,930万,-3207万,201万,3935万,5.66亿
晶方科技,2017-12-31,5325万,-133万,214万,5245万,6.29亿
晶方科技,2016-12-31,1.19亿,-2296万,241万,1.40亿,5.12亿
焦点科技,2018-12-31,4.90亿,-371万,3.88亿,1.05亿,9.00亿
焦点科技,2017-12-31,3.98亿,262万,3.05亿,9025万,12.2亿
焦点科技,2016-12-31,4.05亿,-1426万,2.59亿,1.60亿,6.85亿
银河电子,2018-12-31,2.39亿,3457万,9714万,1.08亿,15.2亿
银河电子,2017-12-31,2.09亿,2052万,9426万,9421万,16.2亿
银河电子,2016-12-31,3.96亿,3078万,1.17亿,2.48亿,19.8亿
阿科力,2018-12-31,2494万,-667万,1078万,2082万,4.22亿
阿科力,2017-12-31,2495万,154万,830万,1510万,2.91亿
阿科力,2016-12-31,3088万,-138万,787万,2440万,2.26亿
众应互联,2018-12-31,3.19亿,1.70亿,8093万,6850万,7.92亿
众应互联,2017-12-31,1.56亿,7879万,2936万,4764万,5.05亿
众应互联,2016-12-31,1.15亿,4950万,2409万,4140万,3.71亿
秀强股份,2018-12-31,2.38亿,1773万,8563万,1.34亿,14.0亿
秀强股份,2017-12-31,2.24亿,2094万,7754万,1.25亿,13.8亿
秀强股份,2016-12-31,2.04亿,173万,6438万,1.38亿,11.5亿
扬子新材,2018-12-31,1.80亿,9625万,3769万,4646万,27.4亿
扬子新材,2017-12-31,1.95亿,1.02亿,5819万,3536万,26.1亿
扬子新材,2016-12-31,1.26亿,144万,2986万,9511万,18.9亿
长城影视,2018-12-31,2.27亿,1.02亿,3856万,8639万,14.5亿
长城影视,2017-12-31,1.46亿,5846万,2322万,6439万,12.5亿
长城影视,2016-12-31,1.17亿,3219万,2854万,5654万,13.6亿
光一科技,2018-12-31,1.22亿,3016万,4105万,5095万,4.36亿
光一科技,2017-12-31,1.12亿,923万,4557万,5707万,5.40亿
光一科技,2016-12-31,1.62亿,593万,4394万,1.12亿,8.14亿
大港股份,2018-12-31,2.06亿,8907万,2954万,8742万,16.9亿
