公司名字,年度,期间费用,财务费用,销售费用,管理费用,营业收入
世龙实业,2017-12-31,1.22亿,428万,4191万,7606万,12.0亿
世龙实业,2016-12-31,1.00亿,-116万,3179万,6951万,10.0亿
仁和药业,2018-12-31,10.3亿,-3156万,7.78亿,2.86亿,44.0亿
仁和药业,2017-12-31,8.85亿,-1487万,6.19亿,2.81亿,38.4亿
仁和药业,2016-12-31,7.37亿,-67.0万,4.87亿,2.50亿,35.7亿
中文传媒,2018-12-31,18.0亿,-6053万,6.78亿,11.8亿,115亿
中文传媒,2017-12-31,21.7亿,1754万,10.9亿,10.7亿,133亿
中文传媒,2016-12-31,35.0亿,-6777万,19.1亿,16.5亿,128亿
金力永磁,2018-12-31,1.08亿,3050万,2491万,5284万,12.9亿
金力永磁,2017-12-31,7456万,2031万,1577万,3847万,9.12亿
金力永磁,2016-12-31,1.02亿,1375万,1282万,7576万,8.06亿
沃格光电,2018-12-31,8062万,-2237万,4121万,6178万,7.00亿
沃格光电,2017-12-31,1.00亿,1454万,3576万,5019万,6.54亿
沃格光电,2016-12-31,6131万,78.5万,2186万,3867万,3.12亿
天音控股,2018-12-31,17.1亿,4.06亿,9.31亿,3.73亿,425亿
天音控股,2017-12-31,13.2亿,3.75亿,6.73亿,2.71亿,396亿
天音控股,2016-12-31,13.4亿,2.58亿,7.21亿,3.58亿,338亿
赣能股份,2018-12-31,1.85亿,1.10亿,--,7484万,25.7亿
赣能股份,2017-12-31,1.66亿,9469万,--,7112万,21.3亿
赣能股份,2016-12-31,1.46亿,9165万,--,5389万,21.8亿
江西铜业,2018-12-31,29.4亿,8.13亿,5.69亿,15.6亿,2153亿
江西铜业,2017-12-31,27.3亿,5.25亿,5.33亿,16.8亿,2051亿
江西铜业,2016-12-31,24.9亿,2.52亿,5.69亿,16.7亿,2023亿
江西长运,2018-12-31,4.76亿,1.29亿,2178万,3.25亿,26.3亿
江西长运,2017-12-31,4.77亿,1.23亿,1983万,3.34亿,28.3亿
江西长运,2016-12-31,4.01亿,1.02亿,1341万,2.86亿,26.2亿
泰豪科技,2018-12-31,6.88亿,1.88亿,2.02亿,2.99亿,61.3亿
泰豪科技,2017-12-31,4.94亿,1.11亿,1.77亿,2.06亿,51.0亿
泰豪科技,2016-12-31,4.96亿,6952万,1.54亿,2.72亿,39.0亿
长虹华意,2018-12-31,5.54亿,1547万,2.19亿,3.19亿,89.1亿
长虹华意,2017-12-31,4.70亿,1830万,1.77亿,2.75亿,81.1亿
长虹华意,2016-12-31,5.39亿,-1.07亿,1.57亿,4.88亿,69.7亿
凤凰光学,2018-12-31,7975万,150万,1695万,6131万,7.78亿
凤凰光学,2017-12-31,1.09亿,600万,1729万,8601万,7.94亿
凤凰光学,2016-12-31,1.08亿,-29.3万,1984万,8867万,7.50亿
江中药业,2018-12-31,5.88亿,-1016万,5.03亿,9544万,17.6亿
江中药业,2017-12-31,6.71亿,-1009万,5.84亿,9756万,17.5亿
江中药业,2016-12-31,6.37亿,22.6万,5.31亿,1.06亿,15.6亿
华伍股份,2018-12-31,1.89亿,4529万,8024万,6322万,9.25亿
华伍股份,2017-12-31,1.61亿,2683万,7633万,5756万,6.80亿
华伍股份,2016-12-31,1.57亿,1068万,5772万,8885万,5.94亿
三鑫医疗,2018-12-31,1.01亿,-69.2万,6445万,3720万,5.31亿
三鑫医疗,2017-12-31,6882万,40.6万,4290万,2551万,4.04亿
三鑫医疗,2016-12-31,6058万,-78.6万,3401万,2736万,3.18亿
江特电机,2018-12-31,5.43亿,1.79亿,1.76亿,1.88亿,30.2亿
江特电机,2017-12-31,3.73亿,7060万,1.75亿,1.27亿,33.7亿
江特电机,2016-12-31,4.67亿,6049万,1.56亿,2.51亿,29.8亿
*ST节能,2018-12-31,1.84亿,6009万,763万,1.17亿,1290万
*ST节能,2017-12-31,1.38亿,1714万,1597万,1.05亿,11.0亿
*ST节能,2016-12-31,1.18亿,301万,1123万,1.04亿,8.65亿
海能实业,2018-12-31,8791万,-266万,5850万,3208万,11.3亿
海能实业,2017-12-31,1.01亿,1009万,5522万,3544万,8.96亿
海能实业,2016-12-31,7363万,-909万,5244万,3028万,6.85亿
赣锋锂业,2018-12-31,4.48亿,8199万,8235万,2.83亿,50.0亿
赣锋锂业,2017-12-31,2.44亿,5354万,5321万,1.37亿,43.8亿
赣锋锂业,2016-12-31,1.70亿,1732万,5087万,1.02亿,28.4亿
联创光电,2018-12-31,2.44亿,2927万,8385万,1.31亿,34.5亿
联创光电,2017-12-31,2.51亿,4956万,7921万,1.22亿,30.1亿
联创光电,2016-12-31,3.46亿,2676万,7248万,2.46亿,25.0亿
