34653603803,2019年01月,大口吃肉肉肉,没有拍照片，但是房子真的很舒服，很好看，阳光可以照到房间里来。地理位置很好，交通便利，老小区但是进小区门口就是，里面布置的很温馨，很喜欢这样的家～以后来北京都还会住这儿的！离三里屯近，工体近，簋街近，还有一定要去吃“火烧云”啊！味道超好，不虚此行！,感谢亲的评价 看完之后心里真的是暖暖的 也许这就是做民宿人的一种情怀 一种乐趣 感谢入住
34653603803,2018年12月,猪猪0616,位置很好就在东四十条这边屋子也跟图片一样小阳台不错 但是热水器不热 调完以后老是熄火地毯有点脏 有一个靠枕该洗了黑黢黢的其他的都挺好的,None
34653603803,2018年12月,霞子rg,比较干净，交通也很方便，性价比很高,很好沟通的房客～感谢入住～
34653603803,2018年11月,枚月,舒适，跟描述的差不多，交通方便，爸妈很开心😃,房子保持的很干净，感谢入住～
34653603803,2018年11月,D0fid旭东,整体都很好，房子在老小区，但是进门就觉得很温馨，全部日式风格。一些细节有待完美，希望下次还能入住,感谢点评，感谢入住～
34653603803,2018年09月,go阿潘kh,还不错的一次住宿～ 谢谢老板,感谢入住～ 很好沟通的房客～
34653603803,2018年08月,keour,小屋离工体很近！！看完演唱会不到十分钟就回去了 很方便 然后周围有麦当劳 超市 离公交站和地铁站也不远 下次看演唱会还住这里哈哈哈,来看演唱会的小伙伴，很好沟通的房客～
34653603803,2018年08月,笑得合不拢腿,房屋外观可能会让人emm，但是打开房门的一瞬间室内装修风格真的非常舒服大气，大热天的还很贴心地一进门就有空调迎接～房东也超好沟通超热情贴心的，知道我们是三个人住还提前帮忙铺好了沙发床(❁´◡`❁)*✲ﾟ*然后交通挺方便的，起码我坐车去世纪剧院出来就有车2333忘记拍照啦，但是真滴强推✺◟(∗❛ัᴗ❛ั∗)◞✺,很好的房客，很好沟通，房间保持的很干净～
34653603803,2018年07月,hebujzt,很完美的一次体验 ！ 虽然是老小区  面积不大但屋内布置得当 干净卫生 能很好地满足生活所需 。值得一提的是出行方便  公交 地铁都在300米范围内  步行即到 。出门办事游玩基本都是坐地铁去的 让我很好的体验了一下大北京四通八达的地铁 真是太便利了😁,很好沟通，感谢入住～
38803159503,2019年02月,那样精彩vk,这次北京之游选的民宿真不错，屋里面超级齐全，化妆品，日用品都很好用，感觉超级温馨和舒适，还可以自己做饭，很有种自己北京家的感觉，房东是一位超级负责的美女，有事帮着解决，选路线，推荐美食，很开心的一次入住体验，下次还来吆！,谢谢你的支持，我会继续努力，感谢入住，欢迎再来。
38803159503,2018年12月,冰唯一的冰,很高大上，适合家庭出游，朋友聚会，环境很好，交通方便，小姐姐人很好，很热情，,不错的房客，感谢入住，欢迎再来
38803159503,2018年09月,秦姗,跟男友来北京玩，男友给我一个大惊喜，我们下榻的酒店太漂亮啦，超豪华的装修，房东美女真会装修，美女准备的东西也很齐全，周围环境也不错，离地铁只有几分钟的路，离天安门也近，晚上和男友出去逛天安门大栅栏都很方便的，希望男友下次来北京还住美女房东房子。,谢谢你们喜欢我的房，感谢入住，欢迎再来
38803159503,2018年08月,qian_1766,一大家子去北京，住这种房子简直太方便了，家一样的感觉！出门在外不适应外面的饭，老人还可以自己在房子里熬粥、做简单的饭吃。离地铁口很近，去颐和园，圆明园坐地铁很方便。天安门，前门大街，大栅栏，鲜鱼口都在附近，溜达几步就到了。下次去北京还住房东家的房，超值，很满意！,谢谢你们喜欢我的房子，非常好的一家人，感谢入住，欢迎再来。
34233760203,2019年03月,_dgc,小姐姐人很好 因为我去的早了会 外面有些冷 本来就感冒了跟小姐姐说了下她很快就让我提前入住了 房子跟图片上一摸一样 房间也很干净,谢谢您对我的好评啦 只要是能方便客人的我都很乐意做哦 家里的卫生是保洁阿姨打扫后我们还会检查的 也祝您早日康复哟！
34233760203,2019年02月,ak朱耘,房间很干净，交通方便,感谢你的好评哟 欢迎您再次入住我家啦
34233760203,2018年10月,fq9k,很不错的房间,谢谢亲亲的好评欢迎再次入住
34233760203,2018年10月,jp6b,各方面都挺好的,谢谢亲的好评哟 欢迎您再次入住
34233760203,2018年09月,julyqy,房间和照片一样，第一感觉就是很干净，舒服。小区也不错，一点也不吵，入住体验很好。管家乐于沟通，非常棒！,非常感谢您的好评 我们会继续加油哟
34233760203,2018年08月,太郎耶,开门是蓝牙，但一楼网络不好，经常连不上信号。站在问口进不不了门，尴尬。,亲亲我们可以设置数字密码的可能您没注意当时发了给您的 也祝您旅途愉快哦
34233760203,2018年08月,mikkeydee,非常好的体验 干净 安静,谢谢你的好评哟超级感谢
34233760203,2018年08月,你我无以名状,不错的体验，离地铁站也不远，方便快捷,谢谢您的好评哟 欢迎下次入住啦
34233760203,2018年07月,麦兜elva,房间整齐干净,谢谢好评哟 我会把您的好评告诉辛苦劳动的保洁阿姨啦
34233760203,2018年07月,石展豪xs,床不干净，不知道什么原因，管家说可能太潮没晾干有味，但是这个枕头是臭的，我感觉像是上一位房客留下的口水，怎么说呢，我枕这自己衣服睡的。不过房间装修很好，很安静，总体还可以吧,因为洗衣粉没有洗干净导致出现了这样的情况，幸亏你及时联系我们管家，我们才知道这个情况，床单被套我们都是一客一换的哦。希望你喜欢我们的房子，下次来住会给你一个大大的优惠哦
31388969803,2019年03月,beyond黄儿,整体还是很棒的，比想象中小，但是很温馨,None
31388969803,2019年03月,8l冰儿,房东妹妹人很好，刚开始订的房子漏水，免费升级两室的洋房，谢谢，么么哒，两室房位于高安路，里面干净整洁，还有吉他，就是厨房间小了点，上去的楼梯有点陡，还有非常满意，五星好评!,非常好的客人，很好沟通。入住很顺利，房屋也保持得很整洁，欢迎下次再来～
31388969803,2019年02月,莫莫凡,出行比较方便,None
31388969803,2019年01月,7hKrystal,布置都很好都很用心 设施都很齐全 密码锁少了带钥匙或者带房卡的顾虑也相对安全 地理位置也相对比较好找 别墅附近也是比较繁华的 有很多吃吃喝喝总之很满意 感谢在上海能让我找到这么满意的住处 感觉很舒适哈 唯一要改进的我觉得是厕所的水有点小哈要是能弄大一点我觉得会更好,很可爱的妹子，入住期间遵守规则，有问题也能及时沟通，非常棒的客人。欢迎下次再来哟～
31388969803,2019年01月,ATOeigost,超可爱的小屋~周边交通非常便利！出门就是购物中心 房间陈设一应俱全 没拍房间的图有点可惜 全五星~,很棒的客人，入住和沟通都很顺利，也很爱惜小屋，五星推荐。欢迎下次再来哦
31388969803,2018年11月,孔玮5241,房东很和善，非常不错，房间很干净,很nice的客人，非常爱惜房子，遵守入住规则，欢迎下次再来哦～
31388969803,2018年11月,Jarvisone,整体挺好的，位置非常棒，装饰的也用心,None
31388969803,2018年10月,很酷不聊天nn,位置真的非常非常好 出门地铁很近 房间整洁 好评！,谢谢你的入住，非常nice的房客，很有素质很有礼貌，沟通很流畅～欢迎下次再来哦～
31388969803,2018年10月,贺猫猫,房间在梅龙镇最热闹的地方，出门真的很方便，房间里面空间很大，最重要的是厨房设施着的很完善，想要两个人在家做饭的可以考虑，真心很温暖，房东人很好，下次还来住,沟通非常顺畅的一位客人，也非常有礼貌，完全遵守入住规则，期待有机会能再次接待你～～
31388969803,2018年09月,maxinewhere,国庆期间和同事上海游住了好几天的民宿，交通便利，购物方便，老板人好热心。,很好的客人，沟通和入住都很顺利，卫生也保持得很好，欢迎下次再来哦～
44319306303,2019年03月,DSJ人在旅途,房间很干净，住着温馨,非常感谢您的好评哟 我们的地理位置很好 可以做饭的啦 祝您一切顺利！
44319306303,2019年01月,路遇星辰,建议早点去，去晚了找了三圈才找到一个车位,非常感谢您的善良 是个超级随和的客人 强烈推荐给各位房东！
44319306303,2018年12月,A小诗,都挺好的，就是院子有点滴水的声音，一晚上都有,谢谢您的建议哦 我让管家去看看啦 欢迎您再次入住我家哦
44319306303,2018年12月,9k琉璃,因为在上海转机，所以临时定了间民宿，很棒的一次住宿体验，地理位置很好。,谢谢亲的好评 欢迎您再次入住我家哦
44319306303,2018年12月,吉吉1r,很棒的一次入住体验，第一次住民宿就爱上了这样的旅游住宿方式，房屋干净温馨，管家贴心服务，谢谢大家！♥,谢谢您的好评啦 我家地理位置很好 还有个小花园 欢迎再次入住哦
44319306303,2018年11月,南雁北飞2018,挺不错的，以后有机会再去！,非常感谢您的好评哟 我家地理位置很好呢 交通非常方便 欢迎您再次入住
44319306303,2018年11月,Hada19,很热心，地段很好，可惜因为行程的关系没好好享受:),谢谢亲亲的好评哟 我们家确实地理位置很好啦 离外滩只有几公里  这次行程短没关系哟 欢迎下次再来入住哟
44319306303,2018年11月,出太阳下雨,'不错不错，一直住民宿，体验不同的房子和房东，这套房子还有管家很贴心，感谢！下次还会来住。',None
44319306303,2018年10月,葵斯坦,'. 很好的，房子虽然不大，但是很干净整洁，厨房卫生间里的东西都挺齐全的，交通特别便利，不需要特别的转车什么的，管家也特别好，我们第二天退房，但是下午还是要玩的，就把行李放在她住的地方继续玩了。',None
44319306303,2018年10月,世风的浮华,'房源整体不错，交通方便，性价比高，过来实习住的很舒服',None
45817187401,2019年01月,5caihong,住了两天，首先非常干净，布置很温馨，还有早饭，第一天老板这么晚了还来接我们，非常感谢。离迪斯尼不远，三四站公交车就到了。去迪斯尼带了两娃玩，好玩的都要两个小时左右，排队小孩吃不消啊，有机会平时再来玩，人不要这么多。,简简单单的几个字，是满满的信任，暖暖的幸福，再辛苦都值了，期待您再次光临
33097083303,2019年02月,LeeSkyRui,和朋友来上海玩，一共4个人两张床都挺大的，地理位置也方便，出门不远就是地铁站，房东姐姐也很好👍,非常感谢您的点评喔：）欢迎再到上海来，祝一切顺利！
