用户运营专家(J190413003),5-10年,本科,全职,不需要融资,北京,30k-50k,滴滴
人事专员,1-3年,本科,全职,不需要融资,北京,6k-10k,希悦
资深驱动开发及逆向工程师,5-10年,不限,全职,A轮,北京,25k-35k,动视云科技
客户经理,不限,大专,全职,A轮,北京,10k-15k,景通科信
客户运营,不限,本科,全职,B轮,北京,8k-16k,会小二网
新媒体运营,1-3年,不限,全职,未融资,北京,4k-8k,七色鸟餐饮品牌设计公司
海外广告投放优化师-BJ,1-3年,本科,全职,上市公司,北京,15k-25k,触宝
广告项目监制/PM,3-5年,不限,全职,不需要融资,北京,10k-15k,青芥制作
新媒体运营实训讲师,3-5年,本科,全职,未融资,北京,18K-20K,北京八维研修学院
质检主管,3-5年,本科,全职,天使轮,北京,8k-13k,快陪练
市场经理,1-3年,本科,全职,不需要融资,北京,10k-20k,希悦
c++软件开发工程师,不限,本科,全职,天使轮,北京,11k-15k,合一智芯
新媒体运营有无经验均可,1年以下,不限,全职,A轮,北京,5k-8k,贰德医院
图像算法科学家,5-10年,硕士,全职,B轮,北京,40k-80k,太古代科技
ui视觉设计,3-5年,本科,全职,不需要融资,北京,15k-30k,比邻东方——新东方青少年外教直播
广告文案审核,3-5年,本科,全职,D轮及以上,北京,8k-15k,知乎
营销主管,3-5年,本科,全职,不需要融资,北京,10k-15k,人民在线
用户运营,1-3年,本科,全职,B轮,北京,8k-16k,会小二网
海外高级产品运营经理【运营增长】,3-5年,本科,全职,上市公司,北京,20k-40k,触宝
广告项目助理,不限,不限,全职,不需要融资,北京,4k-6k,青芥制作
android实训项目经理,5-10年,本科,全职,未融资,北京,25k-30k,北京八维研修学院
BI 数据运营总监,5-10年,本科,全职,天使轮,北京,30k-40k,快陪练
全栈工程师,3-5年,本科,全职,不需要融资,北京,20k-30k,希悦
数据挖掘专家,5-10年,本科,全职,B轮,北京,40k-80k,太古代科技
自动化测试工程师,3-5年,本科,全职,不需要融资,北京,15k-25k,比邻东方——新东方青少年外教直播
产品总监,5-10年,本科,全职,D轮及以上,北京,50k-60k,宝宝树
slam算法工程师,3-5年,硕士,全职,B轮,北京,30k-50k,悉见科技
音视频算法,1-3年,本科,全职,未融资,北京,30k-60k,海伯高斯
商务助理,3-5年,本科,全职,C轮,北京,15k-25k,商汤科技
高级前端开发工程师,5-10年,本科,全职,不需要融资,北京,18k-30k,信产集团
招聘HR(客服运营方向),1-3年,本科,全职,D轮及以上,北京,8k-15k,探探
人力资源专员,1-3年,本科,全职,A轮,北京,8k-15k,探迹科技
会计/财务负责人,1-3年,不限,全职,不需要融资,北京,6k-8k,青芥制作
