西安超市兼职促销,不限,不限,兼职,不需要融资,西安,3k-4k,刺猬阿甘
运营实习生,应届毕业生,本科,实习,B轮,西安,3k-4k,聚宽 JoinQuant
java开发项目经理,3-5年,不限,全职,未融资,西安,7k-14k,西安郑铁施封锁有限责任公司
电话客服销售,不限,大专,全职,不需要融资,西安,6k-10k,西安优赛信息科技有限公司
平面设计师,1-3年,大专,全职,未融资,西安,5k-8k,感光文化
自动化测试(J10467),3-5年,本科,全职,D轮及以上,西安,10k-16k,销售易
机器学习工程师,不限,大专,全职,上市公司,西安,8k-16k,宝兰德软件
数据开发工程师,3-5年,本科,全职,不需要融资,西安,11k-19k,贝业思
Hadoop开发工程师,3-5年,本科,全职,不需要融资,西安,10k-15k,华扬联众全国数据技术中心（HDTC）
前端开发工程师,1-3年,大专,全职,C轮,西安,8k-10k,数云
行政助理,1-3年,大专,全职,A轮,西安,3k-5k,Apoggy
java开发工程师中级,1-3年,本科,全职,上市公司,西安,5k-10k,德卡科技
商务代表/客户代表,不限,大专,全职,上市公司,西安,6k-12k,华企伟业
行政前台,1年以下,大专,全职,不需要融资,西安,3k-5k,听雪网络
销售代表,3-5年,本科,全职,未融资,西安,5k-8k,优露清
高级售前顾问（银行）-00855,3-5年,本科,全职,C轮,西安,15k-25k,同盾科技
Camera驱动开发工程师,不限,本科,全职,上市公司,西安,10k-20k,润和软件
客户经理（西安）,3-5年,大专,全职,上市公司,西安,10k-15k,高思教育集团
英文文案策划,不限,不限,全职,未融资,西安,3k-5k,美唐盛樂
PHP研发工程师,1-3年,不限,全职,未融资,西安,6k-8k,睿智科技
php后端,不限,不限,全职,不需要融资,西安,10k-12k,西安橡木电子商务
java高级开发工程师,不限,不限,全职,上市公司,西安,15k-20k,宝兰德软件
出纳会计,1-3年,本科,全职,不需要融资,西安,3k-5k,贝业思
Hadoop开发工程师,3-5年,本科,全职,不需要融资,西安,10k-15k,华扬联众全国数据技术中心（HDTC）
前端开发工程师,1-3年,大专,全职,C轮,西安,8k-10k,数云
行政助理,1-3年,大专,全职,A轮,西安,3k-5k,Apoggy
php开发工程师,3-5年,本科,全职,不需要融资,西安,8k-13k,天一网络科技有限公司
java开发工程师中级,1-3年,本科,全职,上市公司,西安,5k-10k,德卡科技
平面设计师,1-3年,大专,全职,未融资,西安,5k-8k,感光文化
自动化测试(J10467),3-5年,本科,全职,D轮及以上,西安,10k-16k,销售易
商务代表/客户代表,不限,大专,全职,上市公司,西安,6k-12k,华企伟业
行政前台,1年以下,大专,全职,不需要融资,西安,3k-5k,听雪网络
销售代表,3-5年,本科,全职,未融资,西安,5k-8k,优露清
高级售前顾问（银行）-00855,3-5年,本科,全职,C轮,西安,15k-25k,同盾科技
Camera驱动开发工程师,不限,本科,全职,上市公司,西安,10k-20k,润和软件
客户经理（西安）,3-5年,大专,全职,上市公司,西安,10k-15k,高思教育集团
算法工程师,1-3年,硕士,全职,不需要融资,西安,10k-15k,华扬联众全国数据技术中心（HDTC）
软件开发工程师实习生（西安）,应届毕业生,本科,全职,C轮,西安,4k以上,数云
