客户服务中心-数据分析高级工程师(J14574),金风科技-风机单元-质控中心,1.5-2万/月,北京|无工作经验|招若干人|05-12发布,
软件实施工程师,北京久其软件股份有限公司,0.6-1万/月,北京-海淀区|2年经验|本科|招5人|05-13发布,五险一金|餐饮补贴|年终奖金|定期体检|绩效奖金
资深实施工程师（服务二1902）,北京南天软件有限公司,1.5-2.5万/月,北京|5-7年经验|本科|招5人|05-13发布,五险一金|定期体检|年终奖金|带薪年假|节日福利|弹性工作
大数据平台管理员(职位编号：3),新华指数（北京）有限公司,1-1.5万/月,北京-西城区|无工作经验|硕士|招2人|05-13发布,五险一金|餐饮补贴|补充医疗保险|交通补贴|通讯补贴|绩效奖金|年终奖金|定期体检|专业培训
大数据产品工程师（服务二1913）,北京南天软件有限公司,0.7-1.3万/月,北京|3-4年经验|本科|招3人|05-13发布,五险一金|定期体检|年终奖金|带薪年假|节日福利
市场销售人员（TKY）,北京华路时代信息技术股份有限公司,1.5-2万/月,北京-海淀区|5-7年经验|大专|招5人|05-13发布,五险一金|餐饮补贴|员工旅游|年终奖金|弹性工作|通讯补贴|专业培训
大数据开发工程师（LTyyh）,北京东方国信科技股份有限公司,0.7-1.4万/月,北京-朝阳区|2年经验|本科|招6人|05-13发布,五险一金|年终奖金|定期体检|专业培训
虚拟化工程师,北京华创方舟科技股份有限公司,1.3-1.6万/月,北京-昌平区|3-4年经验|大专|招1人|05-13发布,
数据库工程师,北京华创方舟科技股份有限公司,1.5-2万/月,北京-海淀区|无工作经验|本科|招1人|05-13发布,
电气主管,武汉爱普工业服务有限公司,0.8-1万/月,北京-密云区|5-7年经验|大专|招2人|05-13发布|普通话良好|电气工程及其自动化 电气信息工程,五险一金|年终奖金|绩效奖金|餐饮补贴
电气主管（供配电）,武汉爱普工业服务有限公司,0.8-1万/月,北京-密云区|5-7年经验|大专|招2人|05-13发布|普通话良好|电气工程及其自动化 电气信息工程,五险一金|年终奖金|绩效奖金|餐饮补贴
公用动力主管,武汉爱普工业服务有限公司,0.8-1万/月,北京-密云区|5-7年经验|大专|招1人|05-13发布|普通话良好|电力系统及自动化,五险一金|年终奖金|绩效奖金|餐饮补贴
公用动力主管,武汉爱普工业服务有限公司,0.8-1万/月,北京-密云区|5-7年经验|大专|招1人|05-13发布|普通话良好|电力系统及自动化,五险一金|年终奖金|绩效奖金|餐饮补贴
电气工程师（供配电）,武汉爱普工业服务有限公司,0.8-1万/月,北京-大兴区|5-7年经验|大专|招2人|05-13发布|普通话良好|电气工程及其自动化 电气信息工程,五险一金|年终奖金|绩效奖金|餐饮补贴
客服中心-客服专员,中国国际电子商务中心,4.5-7千/月,北京|无工作经验|大专|招3人|05-13发布,周末双休|带薪年假|五险一金|免费班车|绩效奖金
系统工程师,中国国际电子商务中心,0.8-1.5万/月,北京|无工作经验|本科|招1人|05-13发布,五险一金|补充医疗保险|免费班车|交通补贴|餐饮补贴|通讯补贴|绩效奖金|年终奖金|定期体检
数据库工程师（DBA),远光软件股份有限公司北京分公司,0.8-1万/月,北京-西城区|1年经验|大专|招1人|04-30发布,
高级Java开发工程师,南京华苏科技有限公司,1-1.3万/月,北京|2年经验|大专|招2人|04-30发布,五险一金|通讯补贴|绩效奖金|年终奖金
运营专员（平台维护/网站编辑）,上海思创网络有限公司,5-8千/月,北京-昌平区|1年经验|本科|招3人|04-30发布,五险一金|餐饮补贴|专业培训|绩效奖金|年终奖金|定期体检|弹性工作|做五休二
客服主管/平台客服主管,上海思创网络有限公司,7-9千/月,北京-昌平区|2年经验|本科|招1人|04-30发布,五险一金|餐饮补贴|专业培训|绩效奖金|年终奖金|定期体检|周末双休|弹性工作|做五休二|带薪年假
UPS工程师,正和恒泰（北京）科技有限公司,0.6-1万/月,北京-东城区|2年经验|大专|招3人|04-30发布,
网络工程师(职位编号：安全产品事业部),北京华胜天成科技股份有限公司,5-8千/月,北京-海淀区|1年经验|大专|招1人|04-30发布|计算机科学与技术,五险一金|通讯补贴|年终奖金|定期体检
网络工程师,北京华电天仁电力控制技术有限公司,,北京-海淀区|2年经验|本科|招2人|04-30发布|计算机科学与技术,五险一金|补充医疗保险|餐饮补贴|专业培训|弹性工作|年终奖金|绩效奖金|定期体检
测试开发工程师,立信会计师事务所（特殊普通合伙）-北京分所,1.5-2.5万/月,北京-丰台区|3-4年经验|本科|招2人|04-30发布,五险一金|绩效奖金|员工旅游|餐饮补贴|定期体检|专业培训
云部署项目经理(J10741),阳光雨露信息技术服务（北京）有限公司,2.5-3万/月,北京-海淀区|无工作经验|招1人|05-01发布,五险一金|绩效奖金|带薪年假|补充医疗保险|交通补贴|通讯补贴|餐饮补贴|弹性工作|定期体检|专业培训
企业文化专员,北京阳光泰来商务服务有限公司,4.5-6千/月,北京-石景山区|无工作经验|大专|招1人|04-28发布,五险一金|年终奖金|定期体检|员工餐|过节福利
系统维护工程师(职位编号：caict000807),中国信息通信研究院,0.8-1万/月,北京-海淀区|2年经验|本科|招1人|04-28发布,五险一金|补充医疗保险|绩效奖金|年终奖金|专业培训|通讯补贴|餐饮补贴|定期体检
信息通信业务受理中心SZX02(职位编号：001685),中国信息通信研究院,1.4-1.6万/月,北京-海淀区|3-4年经验|硕士|招1人|04-28发布,五险一金|补充医疗保险|专业培训|通讯补贴|定期体检|绩效奖金|年终奖金
平台规划工程师SGW07(职位编号：001614),中国信息通信研究院,1.4-1.6万/月,北京-顺义区|3-4年经验|本科|招2人|05-15发布,五险一金|补充医疗保险|专业培训|通讯补贴|定期体检|绩效奖金|年终奖金
BASIS开发(职位编号：MSS),中博信息技术研究院有限公司,0.8-1.5万/月,北京-丰台区|无工作经验|招若干人|04-28发布,五险一金|员工旅游|餐饮补贴|通讯补贴|专业培训|绩效奖金|年终奖金|弹性工作|定期体检
高级网络工程师-00203,紫光云技术有限公司,1.5-2万/月,北京-海淀区|无工作经验|招1人|04-28发布,五险一金|免费班车|通讯补贴|餐饮补贴|交通补贴|定期体检|带薪年假|专业培训
高级网络工程师-00203,紫光云技术有限公司,1.5-2万/月,北京-海淀区|3-4年经验|本科|招1人|04-28发布,五险一金|免费班车|通讯补贴|餐饮补贴|交通补贴|定期体检|带薪年假|专业培训
系统测试工程师,鸿讯物流有限公司,8-10万/年,北京-顺义区|无工作经验|招2人|04-28发布,带薪年假|五险一金|绩效奖金|高温补贴|节日福利|住房补贴|定期体检|包吃|加班补贴|包住宿
数据库DBA工程师(职位编号：MSS),中博信息技术研究院有限公司,6-8千/月,北京-丰台区|2年经验|本科|招若干人|04-28发布,
HANA开发(职位编号：MSS),中博信息技术研究院有限公司,0.8-1.5万/月,北京-丰台区|无工作经验|招若干人|04-28发布,五险一金|员工旅游|餐饮补贴|通讯补贴|专业培训|绩效奖金|年终奖金|弹性工作|定期体检
ERP功能顾问-昌平-D,北京中油瑞飞信息技术有限责任公司,1-1.5万/月,北京|3-4年经验|本科|招1人|04-28发布,五险一金|补充医疗保险|交通补贴|餐饮补贴|通讯补贴|专业培训|绩效奖金|年终奖金|定期体检|免费班车
投资风控业务分析专家,南通东华软件有限公司,2-2.5万/月,北京-西城区|5-7年经验|本科|招1人|04-28发布|金融学 数学与应用数学,五险一金|餐饮补贴|通讯补贴|补充公积金|年终奖金|定期体检|周末双休|带薪年假
数仓开发,南通东华软件有限公司,0.8-1.5万/月,北京-西城区|2年经验|本科|招若干人|04-28发布,五险一金|餐饮补贴|通讯补贴|补充医疗保险|补充公积金|年终奖金|定期体检|周末双休|带薪年假|每年多次调薪
数据仓库开发工程师,南通东华软件有限公司,1-1.8万/月,北京-西城区|3-4年经验|大专|招若干人|04-28发布,五险一金|餐饮补贴|通讯补贴|补充医疗保险|补充公积金|年终奖金|定期体检|周末双休|带薪年假|每年多次调薪
技术主管,北京学易时代咨询有限公司,1.5-4万/月,北京|3-4年经验|本科|招3人|04-28发布,五险一金|年终奖金|专业培训|餐饮补贴|交通补贴|通讯补贴|绩效奖金
JAVA应用开发工程师,南通东华软件有限公司,1-1.5万/月,北京-西城区|2年经验|本科|招2人|04-28发布,五险一金|餐饮补贴|通讯补贴|补充医疗保险|补充公积金|年终奖金|定期体检|周末双休|带薪年假|每年多次调薪
产品经理（北京）,北京悦途航空服务有限公司,1-1.5万/月,北京-朝阳区|3-4年经验|本科|招1人|04-28发布|英语精通,专业培训|扁平管理|员工旅游|社保养老|公积金
Java开发工程师,北京智合惠众科技有限公司,0.6-1万/月,北京-朝阳区|5-7年经验|大专|招2人|04-28发布,五险一金|员工旅游|交通补贴|餐饮补贴|定期体检|年终奖金
实施工程师/项目经理,北京鼎腾科技有限公司,1-1.5万/月,北京-海淀区|无工作经验|招4人|04-23发布,
SAP HR运维顾问/运维经理/咨询顾问/项目经理,北京鼎腾科技有限公司,1-1.5万/月,北京-海淀区|无工作经验|招3人|04-23发布,
系统工程师,北京鑫方盛五金交电有限公司,0.8-1.3万/月,北京-大兴区|无工作经验|招1人|04-24发布,带薪年假|员工旅游|交通补贴|通讯补贴|免费三餐
视频会议系统工程师,北京中智国华信息技术有限公司,6-8千/月,北京-朝阳区|1年经验|大专|招2人|04-28发布,
JAVA软件运营维护工程师,北京佳易慧通科技有限责任公司,4.5-6千/月,北京|无工作经验|招3人|04-28发布,五险一金|绩效奖金|专业培训|弹性工作
质量管理工程师中级,长安通信科技有限责任公司,7-8千/月,北京-朝阳区|3-4年经验|本科|招3人|04-24发布,五险一金|餐饮补贴|绩效奖金|年终奖金|定期体检
驻点高级服务工程师,北京大数元科技发展有限公司,1-2万/月,北京-西城区|无工作经验|招2人|04-24发布,交通补贴|餐饮补贴|出差补贴|五险一金|补充医疗保险|通讯补贴
电气工程师,长安通信科技有限责任公司,0.7-1.2万/月,北京-海淀区|无工作经验|本科|招1人|04-24发布,五险一金|交通补贴|通讯补贴|绩效奖金|年终奖金|定期体检
质量管理中级,长安通信科技有限责任公司,7-8千/月,北京-朝阳区|3-4年经验|大专|招2人|04-24发布,五险一金|绩效奖金|年终奖金|定期体检|餐饮补贴
质量管理初级工程师,长安通信科技有限责任公司,5-6千/月,北京-朝阳区|2年经验|大专|招3人|04-24发布,五险一金|餐饮补贴|绩效奖金|年终奖金|定期体检
python 研发工程师,长安通信科技有限责任公司,1-1.5万/月,北京-朝阳区|无工作经验|招5人|04-24发布,五险一金|餐饮补贴|通讯补贴|绩效奖金|年终奖金|定期体检
质量监控,长安通信科技有限责任公司,5-6千/月,北京-朝阳区|无工作经验|招1人|04-24发布,五险一金|绩效奖金|年终奖金|定期体检|餐饮补贴
项目主管(职位编号：24995),字节跳动,1-2万/月,北京|2年经验|本科|招2人|04-24发布,六险一金|弹性工作|免费三餐|餐补|租房补贴|带薪休假|晋升空间|团队氛围好|优厚薪资
财务系统管理员,嘉友国际物流股份有限公司,1-1.5万/月,北京|3-4年经验|本科|招1人|04-24发布,五险一金|年终奖金
高级IM工程师,上海棋至文化传播有限公司,3-4万/月,北京-东城区|5-7年经验|本科|招2人|04-24发布,
开发总监,上海棋至文化传播有限公司,4-5万/月,北京-东城区|3-4年经验|本科|招1人|04-24发布,
中级IM工程师,上海棋至文化传播有限公司,2.5-3万/月,北京-东城区|3-4年经验|本科|招4人|04-24发布,
初级IM工程师,上海棋至文化传播有限公司,1.5-2万/月,北京-东城区|1年经验|本科|招2人|04-24发布,
环保服务专员（环境相关专业）,罗克佳华科技集团股份有限公司,5-8千/月,北京-房山区|2年经验|本科|招1人|04-25发布,周末双休|餐补|全勤奖|法定节假日|节假日福利|五险一金|定期体检
技术服务工程师（年薪15W起）,深信服科技股份有限公司,0.8-1万/月,深圳-南山区|无工作经验|本科|招6人|04-24发布,五险一金|餐饮补贴|节日福利|通讯补贴|员工旅游|专业培训|定期体检
金风慧能-售前解决方案工程师(J14502),金风科技-风机单元-金风慧能,1.8-3万/月,北京-大兴区|5-7年经验|本科|招1人|04-25发布,五险一金|补充医疗保险|绩效奖金|定期体检
DBA,易安财产保险股份有限公司,1-1.8万/月,北京-海淀区|3-4年经验|本科|招1人|04-25发布,五险一金|餐饮补贴|弹性工作|定期体检|补充医疗保险|专业培训
zabbix开发,北京依蓝天创科技有限公司,0.6-1.2万/月,北京|无工作经验|招1人|04-25发布,五险一金|专业培训
设备工程师,北京中智国华信息技术有限公司,6-8千/月,北京-朝阳区|1年经验|大专|招2人|04-25发布,交通补贴|餐饮补贴|年终奖金|绩效奖金|弹性工作|补充医疗保险
高级网络工程师,云网安信（北京）科技有限公司,1.5-2万/月,北京-朝阳区|5-7年经验|大专|招2人|04-11发布,五险一金|补充医疗保险|年终奖金|员工旅游|定期体检
安装工程师,北京中智国华信息技术有限公司,6-8千/月,北京-朝阳区|无工作经验|招3人|04-25发布,交通补贴|餐饮补贴|年终奖金|绩效奖金|弹性工作|补充医疗保险
高级架构师(SSA)-云业务事业部,北京神州泰岳软件股份有限公司,2.5-3万/月,北京-朝阳区|10年以上经验|本科|招1人|04-11发布,五险一金|补充医疗保险|定期体检|餐饮补贴|专业培训
软件工程师,北京华联印刷有限公司,6-8千/月,北京-大兴区|无工作经验|大专|招3人|04-25发布,
自动化、渗透测试工程师,黑龙江英目企业管理咨询有限公司,20-65万/年,北京-朝阳区|3-4年经验|大专|招5人|04-18发布|普通话良好,出国机会|绩效奖金|年终奖金|免费班车
网络工程师,北京国交商社,5.5-6.5千/月,北京-朝阳区|无工作经验|招5人|04-11发布,带薪年假|五险一金|节日福利|专业培训|加班补贴|餐饮补贴|定期体检|年终奖金|出国机会|补充医疗保险
运营副总监,云网安信（北京）科技有限公司,1.5-3万/月,廊坊|8-9年经验|本科|招1人|04-11发布,五险一金|做五休二|绩效奖金
机房值守工程师,北京天港惠达科技有限公司,3.5-5千/月,北京-顺义区|3-4年经验|大专|招1人|04-18发布|计算机科学与技术 计算机信息管理,五险一金|餐饮补贴|定期体检|交通补贴
网络工程师,北京源晨动力技术服务有限公司,0.6-1万/月,北京-海淀区|1年经验|大专|招2人|04-19发布,周末双休|带薪年假|五险一金|节日福利|专业培训|试用期全薪|定期体检|年度调薪
系统集成经理,北京振颜丽舍商贸有限公司,2-2.5万/月,北京-朝阳区|5-7年经验|大专|招1人|04-19发布,五险一金|员工旅游|专业培训|绩效奖金|年终奖金
高级网络工程师,北京源晨动力技术服务有限公司,0.8-1万/月,北京-西城区|2年经验|招1人|04-19发布,周末双休|带薪年假|五险一金|节日福利|专业培训|试用期全薪|定期体检|年度调薪
网络工程师,南京汇银迅信息技术有限公司,1-1.5万/月,北京-海淀区|3-4年经验|本科|招2人|04-19发布,交通补贴|餐饮补贴|通讯补贴|带薪年假|节日福利|高温补贴
用友ERP实施顾问,北京挚友宏达科技有限公司,4.5-8千/月,北京-通州区|1年经验|大专|招5人|04-19发布,周末双休|带薪年假|绩效奖金|全勤奖|节日福利|五险|员工旅游
System Architect  Specialist/Senior Specialist/Manager - GDC Oracle - Consulting - Beijing(职位编号：CN158977),德勤华永会计师事务所（特殊普通合伙）,,北京|3-4年经验|招1人|04-19发布,
产品交付经理,北京振颜丽舍商贸有限公司,1.5-2万/月,北京-朝阳区|3-4年经验|大专|招1人|04-19发布|计算机科学与技术 计算机信息管理,五险一金|员工旅游|专业培训|绩效奖金|年终奖金
信息安全工程师,湖南科创信息技术股份有限公司,1-2万/月,北京|无工作经验|招1人|04-19发布,带薪年假|绩效奖金|节日福利|专业培训|餐饮补贴|通讯补贴|五险一金|员工旅游|定期体检|弹性工作
系统维护工程师（办公地点莲花桥，入职国企）,湖南科创信息技术股份有限公司,1-2万/月,北京|无工作经验|招1人|04-19发布,带薪年假|绩效奖金|节日福利|专业培训|餐饮补贴|通讯补贴|五险一金|员工旅游|定期体检|弹性工作
系统维护工程师,湖南科创信息技术股份有限公司,1-2万/月,北京|无工作经验|招1人|04-19发布,带薪年假|绩效奖金|节日福利|专业培训|餐饮补贴|通讯补贴|五险一金|员工旅游|定期体检|弹性工作
总公司-培训部-移动学习项目经理(职位编号：000608),亚太财产保险有限公司,15-28万/年,北京-东城区|无工作经验|本科|招1人|04-20发布,
网络工程师,北京双鑫汇在线科技有限公司,6-8千/月,北京-海淀区|1年经验|大专|招2人|04-20发布|计算机网络 计算机信息管理,餐饮补贴|通讯补贴|全勤奖|带薪年假|五险
网络安全工程师,北京华创方舟科技股份有限公司,0.8-1万/月,北京-西城区|2年经验|大专|招1人|04-21发布,五险一金|员工旅游|餐饮补贴|通讯补贴|绩效奖金|定期体检
系统管理员,米氏云商（北京）科技有限公司,0.8-1.2万/月,北京-朝阳区|3-4年经验|大专|招1人|04-21发布,员工旅游|交通补贴|专业培训|绩效奖金|年终奖金|五险一金
技术支持/维护工程师,北京大道合创科技有限责任公司,3.5-4.5千/月,北京-怀柔区|无工作经验|中专|招3人|04-21发布,五险一金|专业培训
电力行业销售,北京大道合创科技有限责任公司,3-4.5千/月,北京-海淀区|1年经验|大专|招3人|04-21发布,五险一金|专业培训
OA信息化专员,北京海金格医药科技股份有限公司,0.8-1万/月,北京-丰台区|2年经验|本科|招1人|05-10发布,五险一金|补充医疗保险|员工旅游|交通补贴|年终奖金|绩效奖金|通讯补贴|餐饮补贴|弹性工作|定期体检
ERP服务支持经理(职位编号：yonyou000941),用友网络科技股份有限公司,1.5-2.5万/月,北京-海淀区|无工作经验|本科|招若干人|05-10发布,五险一金|交通补贴|餐饮补贴|通讯补贴|弹性工作|免费班车|14薪
Python开发工程师,北京缔联科技有限公司,1-1.5万/月,北京-海淀区|无工作经验|招1人|05-10发布,
软件平台维护工程师,长城金点软件（北京）有限公司,6-8千/月,北京-朝阳区|2年经验|大专|招若干人|05-10发布|软件工程 计算机网络,五险一金|餐饮补贴|年终奖金|弹性工作
网络工程师,长城金点软件（北京）有限公司,6-8千/月,北京-朝阳区|3-4年经验|大专|招若干人|05-10发布,五险一金|餐饮补贴|年终奖金|弹性工作
APM售后工程师,长城金点软件（北京）有限公司,1-1.5万/月,北京-朝阳区|无工作经验|招若干人|05-10发布,五险一金|绩效奖金|专业培训|餐饮补贴
实施工程师,长城金点软件（北京）有限公司,1-1.5万/月,北京-朝阳区|无工作经验|招若干人|05-10发布,五险一金|绩效奖金|专业培训|餐饮补贴
APM售前工程师,长城金点软件（北京）有限公司,1-1.5万/月,北京-朝阳区|无工作经验|招若干人|05-10发布,五险一金|绩效奖金|专业培训|餐饮补贴
软件实施工程师,北京神舟航天软件技术有限公司,1-2万/月,北京|2年经验|本科|招2人|05-10发布|计算机科学与技术 软件工程,五险一金|补充医疗保险|免费班车|餐饮补贴|弹性工作|定期体检
银行-ETL开发工程师(高级),北京融英乐知科技有限公司,1.8-2.8万/月,北京|5-7年经验|本科|招3人|05-10发布,五险一金|补充医疗保险|补充公积金|员工旅游|交通补贴|年终奖金|定期体检
银行-hadoop专家级,北京融英乐知科技有限公司,2.6-3.8万/月,北京|5-7年经验|本科|招3人|05-10发布,五险一金|补充医疗保险|补充公积金|员工旅游|交通补贴|年终奖金|定期体检
副总裁-技术,盘古通信有限公司,2-2.5万/月,北京-朝阳区|无工作经验|招若干人|05-10发布,
bw顾问,上海汉得信息技术股份有限公司,1-1.5万/月,上海-青浦区|无工作经验|招若干人|05-10发布,五险一金|补充医疗保险|补充公积金|通讯补贴|定期体检|绩效奖金|年终奖金|股票期权|员工旅游
堡垒机开发,北京天融信科技有限公司,1.5-3万/月,北京|5-7年经验|大专|招1人|05-10发布,五险一金|通讯补贴|餐饮补贴|弹性工作|定期体检|绩效奖金|年终奖金|免费班车|员工旅游
项目助理,北京德众网联科技有限公司,4.5-6千/月,北京-东城区|1年经验|大专|招若干人|05-11发布,弹性工作|专业培训|通讯补贴|绩效奖金|年终奖金|补充公积金
销售经理,北京新宇合创信息技术有限公司,0.8-1.2万/月,北京-朝阳区|5-7年经验|大专|招1人|05-11发布,五险一金|节假日福利|带薪年假|有提成
系统实施工程师（软件实施工程师/技术实施工程师）,北京恒光数码科技有限公司,6-8千/月,北京-海淀区|2年经验|大专|招2人|05-11发布,
大数据研究员(J11927),北京传智播客教育科技有限公司,3-5万/月,北京-昌平区|无工作经验|招1人|05-11发布,员工旅游|交通补贴|餐饮补贴|定期体检|五险一金|补充医疗保险
高薪急聘实施工程师,北京维信通科技股份有限公司,4.5-6千/月,北京-海淀区|3-4年经验|大专|招1人|05-11发布,五险一金|员工旅游|餐饮补贴|通讯补贴|年终奖金|定期体检
OpenStack实施维护工程师,上海浩方信息技术有限公司,1-1.5万/月,北京-西城区|2年经验|大专|招3人|05-11发布,
数据仓库技术经理（数字中交事业部）,中国交通信息科技集团有限公司,2-2.5万/月,北京-西城区|5-7年经验|本科|招1人|05-11发布,五险一金|定期体检|餐饮补贴|年终奖金
实施工程师（监控系统）,北京中油瑞飞信息技术有限责任公司,1.5-2.5万/月,北京-昌平区|3-4年经验|本科|招2人|05-11发布,五险一金|补充医疗保险|交通补贴|餐饮补贴|通讯补贴|专业培训|绩效奖金|年终奖金|定期体检|弹性工作
财务云系统需求工程师,中国交通信息科技集团有限公司,1.5-2万/月,北京-东城区|5-7年经验|本科|招5人|05-11发布|软件工程 金融学,五险一金|定期体检|餐饮补贴|年终奖金
云计算高级python研发工程师,上海浩方信息技术有限公司,2-2.5万/月,北京-海淀区|5-7年经验|本科|招2人|05-11发布,
主干网络维护员,北京古北水镇旅游有限公司,4.5-8千/月,北京-密云区|无工作经验|大专|招2人|05-11发布,五险一金|年终奖金|免费班车
2019应届生-云服务管理,北京中油瑞飞信息技术有限责任公司,0.6-1万/月,北京-昌平区|无工作经验|本科|招2人|05-08发布|英语良好,补充医疗保险|免费班车|通讯补贴|专业培训|绩效奖金|定期体检|周末双休|五险一金|餐饮补贴|丰厚奖金
网络安全工程师-应届生,北京中油瑞飞信息技术有限责任公司,0.7-1万/月,北京|无工作经验|本科|招6人|05-08发布,五险一金|补充医疗保险|免费班车|通讯补贴|定期体检|员工食堂|专业培训|绩效奖金|餐饮补贴|福利假期
网络安全工程师-应届生,北京中油瑞飞信息技术有限责任公司,0.7-1.5万/月,北京|无工作经验|本科|招1人|05-08发布,五险一金|补充医疗保险|免费班车|通讯补贴|定期体检|员工食堂|专业培训|绩效奖金|餐饮补贴|福利假期
实施工程师,北明智通（北京）科技有限公司,1-1.5万/月,北京|3-4年经验|本科|招1人|05-09发布,通讯补贴|五险一金|补充医疗保险|节日福利|做五休二|弹性工作|定期体检|餐饮补贴|交通补贴
Node.js开发工程师,白城市佰信达商贸有限公司,2-3万/月,深圳-罗湖区|2年经验|招2人|05-08发布,带薪年假|免费班车|通讯补贴|全勤奖|节日福利|年终奖金|绩效奖金|弹性工作|出国机会|吃住全包
商务发展部业务管理岗,中国民生银行股份有限公司信用卡中心,1-1.5万/月,北京|2年经验|本科|招1人|05-09发布,五险一金|餐饮补贴|绩效奖金|弹性工作|年终双薪|带薪年假
商务发展部业务推动岗,中国民生银行股份有限公司信用卡中心,1-1.5万/月,北京|2年经验|本科|招1人|05-09发布,五险一金|餐饮补贴|绩效奖金|弹性工作|年终双薪|带薪年假
高级产品经理(J20271),京东方科技集团股份有限公司,1.5-3万/月,北京-大兴区|5-7年经验|本科|招1人|05-09发布,五险一金|专业培训|带薪年假|节日福利|免费班车|餐饮补贴|通讯补贴|定期体检|年终奖金|绩效奖金
数据库工程师,远光软件股份有限公司,0.7-1.2万/月,北京-海淀区|无工作经验|本科|招1人|05-09发布,
实习生（发电一部）,远光软件股份有限公司,2.5-3.5千/月,北京-朝阳区|无工作经验|本科|招5人|05-09发布,
网络工程师,北京嘉士宝科技有限公司,4.5-6千/月,北京-朝阳区|无工作经验|招若干人|05-09发布,五险一金|员工旅游|交通补贴|餐饮补贴|弹性工作|年终奖金
网络工程师,北京紫金支点技术有限公司,0.8-1万/月,北京-西城区|1年经验|大专|招若干人|05-09发布|计算机科学与技术 计算机网络,
F5工程师,北京紫金支点技术有限公司,1-1.5万/月,北京-西城区|1年经验|本科|招若干人|05-09发布,五险一金|补充医疗保险|交通补贴|餐饮补贴|通讯补贴|定期体检|年终奖金|绩效奖金
网络高级工程师,北京紫金支点技术有限公司,1-1.5万/月,北京-西城区|3-4年经验|本科|招若干人|05-09发布|计算机网络 通信工程,五险一金|补充医疗保险|交通补贴|餐饮补贴|通讯补贴|定期体检|年终奖金|绩效奖金
网络工程师（银行驻场）,北京紫金支点技术有限公司,0.7-1.2万/月,北京-西城区|1年经验|大专|招若干人|05-09发布,五险一金|补充医疗保险|交通补贴|餐饮补贴|通讯补贴|定期体检|年终奖金|绩效奖金
网络工程师,北京紫金支点技术有限公司,3-3.5千/月,北京-西城区|无工作经验|本科|招若干人|05-09发布,五险一金|补充医疗保险|定期体检|通讯补贴|年终奖金|绩效奖金|餐饮补贴
高级网络工程师,北京世纪互联宽带数据中心有限公司,1.5-2万/月,北京-朝阳区|5-7年经验|本科|招3人|05-09发布,"五险一金|交通补贴|餐饮补贴|通讯补贴|专业培训|绩效奖金|节日福利|,免费班车"
高级网络工程师（NS）,北京世纪互联宽带数据中心有限公司,0.8-1万/月,北京-朝阳区|无工作经验|招1人|05-09发布,专业培训|绩效奖金|弹性工作|六险一金|晋升空间|免费班车|定期体检|补充医疗保险|综合补贴|值班补助丰厚
北京-采购专员,北京银信长远科技股份有限公司,4.5-6千/月,北京-朝阳区|1年经验|本科|招2人|05-09发布,周末双休|弹性工作|带薪年假|五险一金|绩效奖金|节日福利|交通补贴|餐饮补贴|通讯补贴
驻场工程师,浙江九州云信息科技有限公司,0.8-1万/月,北京-西城区|无工作经验|招若干人|05-09发布,
配置管理工程师(PaaS/北京)(J12268),北京北森云计算股份有限公司,2-2.5万/月,北京-海淀区|无工作经验|本科|招1人|04-12发布,餐饮补贴|弹性工作
技术支持工程师（CSZN1-whl）,北京东方国信科技股份有限公司,0.8-1.5万/月,北京|1年经验|本科|招4人|05-09发布,五险一金|员工旅游|专业培训|年终奖金|定期体检
高级配置管理工程师(PaaS/北京)(J12282),北京北森云计算股份有限公司,2-2.5万/月,北京-海淀区|3-4年经验|本科|招1人|04-12发布,餐饮补贴|弹性工作
全渠道平台运营部高级经理-北京-01229,李宁（中国）体育用品有限公司,2.5-4万/月,北京-通州区|5-7年经验|本科|招1人|05-09发布,
IT支持工程师（PaaS/北京）(J12542),北京北森云计算股份有限公司,0.8-1万/月,北京-海淀区|2年经验|大专|招1人|04-20发布,餐饮补贴|弹性工作
资深分布式（c#方向）(J12546),北京北森云计算股份有限公司,3-4万/月,北京-海淀区|5-7年经验|大专|招若干人|04-22发布,餐饮补贴|弹性工作
分布式工程师（实习/PaaS）(J12398),北京北森云计算股份有限公司,4.5-6千/月,北京-海淀区|无工作经验|本科|招1人|05-03发布,餐饮补贴|弹性工作
java开发工程师（2019年应届生）,阳光保险集团股份有限公司,0.8-1万/月,北京-通州区|无工作经验|本科|招若干人|05-10发布,五险一金|补充医疗保险|定期体检|弹性工作|年终奖金|绩效奖金|通讯补贴|餐饮补贴|交通补贴|专业培训
Java开发工程师,阳光保险集团股份有限公司,1-1.5万/月,北京-通州区|无工作经验|本科|招2人|05-10发布,五险一金|补充医疗保险|定期体检|弹性工作|年终奖金|绩效奖金|通讯补贴|餐饮补贴|交通补贴|专业培训
Java高级开发工程师——保险项目,高伟达软件股份有限公司,1.5-2.4万/月,北京-朝阳区|无工作经验|招6人|03-27发布,五险一金|员工旅游|餐饮补贴|绩效奖金|定期体检
中级Java开发工程师,高伟达软件股份有限公司,1-1.5万/月,北京-朝阳区|3-4年经验|本科|招3人|03-27发布,五险一金|员工旅游|餐饮补贴|绩效奖金|定期体检
高级Java开发工程师,高伟达软件股份有限公司,1.5-2万/月,北京-朝阳区|5-7年经验|本科|招3人|03-27发布,五险一金|员工旅游|餐饮补贴|绩效奖金|定期体检
IT系统工程师,中金数据系统有限公司,1.5-2万/月,北京|5-7年经验|本科|招2人|03-27发布,
