集成售前工程师,北京富通东方科技有限公司,1-1.5万/月,北京-朝阳区|无工作经验|本科|招1人|04-02发布,五险一金|补充医疗保险|定期体检|餐饮补贴|做五休二|周末双休|带薪年假|绩效奖金|节日福利
JAVA开发工程师（OA）,北京北大方正电子有限公司,0.8-1万/月,北京-海淀区|无工作经验|招1人|04-02发布,"免费班车,|周末双休"
JAVA开发工程师（OA）(J12609),北京北大方正电子有限公司,0.8-1万/月,北京-海淀区|无工作经验|招1人|04-02发布,"免费班车,|周末双休"
JAVA开发工程师（OA）(J12609),北京北大方正电子有限公司,0.8-1万/月,北京-海淀区|无工作经验|招1人|04-02发布,"免费班车,|周末双休"
信息部技术顾问(J12595),北京北大方正电子有限公司,0.8-1万/月,北京-海淀区|无工作经验|招1人|04-02发布,"五险一金|餐饮补贴|,带薪年假,|住宿班车,|免费班车,|体检"
区域副经理（集中交付）,金石易服（北京）科技有限公司,1.5-2万/月,北京-海淀区|无工作经验|招3人|04-01发布,五险一金|交通补贴|定期体检|弹性工作|通讯补贴|年终奖金
招聘专员,金石易服（北京）科技有限公司,0.8-1万/月,北京-海淀区|1年经验|大专|招3人|04-01发布,五险一金|交通补贴|定期体检|弹性工作|通讯补贴|年终奖金
HRBP,金石易服（北京）科技有限公司,0.8-1万/月,北京-海淀区|1年经验|本科|招3人|04-01发布,五险一金|交通补贴|定期体检|弹性工作|通讯补贴|年终奖金
技术工程师,北京挚友宏达科技有限公司,4.5-8千/月,北京-通州区|无工作经验|大专|招5人|04-01发布,周末双休|带薪年假|绩效奖金|全勤奖|节日福利|五险|员工旅游
系统工程师,中铁建网络信息科技有限公司,0.8-1.4万/月,北京-海淀区|3-4年经验|本科|招3人|04-01发布,
网络工程师（华为实施工程师）,集辉信息系统（上海）有限公司,0.6-1万/月,北京-海淀区|1年经验|大专|招2人|04-01发布,五险一金|员工旅游|餐饮补贴|通讯补贴|交通补贴|专业培训|年终奖金|定期体检
金融需求分析（初级）,深圳市赢时胜信息技术股份有限公司北京分公司,0.5-1万/月,北京-朝阳区|1年经验|本科|招3人|05-08发布,五险一金|交通补贴|餐饮补贴|通讯补贴|专业培训|绩效奖金|股票期权
高精度GNSS算法工程师（北斗研发中心）,中国铁道科学研究院电子计算技术研究所,1.5-3万/月,北京-海淀区|1年经验|本科|招2人|05-08发布|英语熟练|软件工程 计算机科学与技术,五险一金|绩效奖金|周末双休|带薪年假
周末IT讲师,北京中科信软科技有限公司,2000元/天,北京|3-4年经验|本科|招若干人|05-07发布,
ETL工程师,深圳市赢时胜信息技术股份有限公司北京分公司,0.8-1.6万/月,北京|无工作经验|本科|招5人|05-07发布,五险一金|餐饮补贴|通讯补贴|绩效奖金|交通补贴
华为外包 基站维护工程师（塔工）,北京外企德科人力资源服务上海有限公司,6-8千/月,东莞-松山湖区|3-4年经验|大专|招2人|05-07发布,五险一金|定期体检|带薪休假|节日福利|带薪年假|绩效奖金|做五休二|加班补贴|年终奖金
需求分析工程师,深圳市赢时胜信息技术股份有限公司北京分公司,0.8-1.5万/月,北京-朝阳区|无工作经验|本科|招2人|05-08发布,五险一金|通讯补贴|餐饮补贴|交通补贴|绩效奖金|入门金融行业|领域专业研究|员工旅游
维护工程师,北京筑信易通科技发展有限公司,6.5-7.5千/月,北京-东城区|1年经验|大专|招5人|05-07发布,五险|员工旅游|餐饮补贴|年终奖金|定期体检|通讯补贴|专业培训|弹性工作
ETL开发人员,启明信息技术股份有限公司北京分公司,0.9-1.7万/月,北京-朝阳区|3-4年经验|本科|招2人|05-07发布|英语熟练|软件工程 计算机科学与技术,五险一金|定期体检|年终奖金
项目实施工程师-奇点国际,北京神州泰岳软件股份有限公司,4-6千/月,北京-朝阳区|2年经验|大专|招2人|05-08发布,五险一金|定期体检|餐饮补贴|补充医疗保险|绩效奖金|年终奖金|员工旅游|通讯补贴|弹性工作
存储虚拟化支持工程师（驻场）,北京富通东方科技有限公司,1-1.5万/月,北京-朝阳区|无工作经验|本科|招1人|05-14发布,五险一金|补充医疗保险|定期体检|餐饮补贴|做五休二|周末双休|带薪年假|绩效奖金|节日福利
虚拟化支持工程师（驻场）,北京富通东方科技有限公司,1-1.5万/月,北京-海淀区|无工作经验|本科|招1人|05-14发布,五险一金|补充医疗保险|定期体检|餐饮补贴|做五休二|周末双休|带薪年假|绩效奖金|节日福利
系统集成项目经理,北京富通东方科技有限公司,1.5-2万/月,北京-朝阳区|无工作经验|本科|招1人|05-14发布,五险一金|补充医疗保险|定期体检|餐饮补贴|节日福利
基础环境交付工程师（驻场）,北京富通东方科技有限公司,0.6-1.2万/月,北京-海淀区|无工作经验|招1人|05-14发布,五险一金|补充医疗保险|餐饮补贴|年终奖金|通讯补贴
风电技术支持,北京合信锐风新能源发展有限公司,5-6万/年,北京-大兴区|无工作经验|招2人|05-14发布,
系统集成工程师,北京恒泰实达科技股份有限公司,0.8-1.3万/月,北京-大兴区|3-4年经验|大专|招1人|05-14发布|计算机网络,五险一金|专业培训|员工旅游|年终奖金|绩效奖金
服务器操作系统产品研发工程师,中标软件有限公司,0.8-2.5万/月,北京-海淀区|无工作经验|本科|招3人|05-14发布,五险一金|绩效奖金|弹性工作|补充医疗保险|定期体检
持续构建技术研究员,深圳市赢时胜信息技术股份有限公司北京分公司,2-2.5万/月,北京-朝阳区|5-7年经验|本科|招2人|05-15发布|英语一般,
运营工程师(昌平/怀柔）,广州市怡文环境科技股份有限公司,4.5-6千/月,北京-昌平区|无工作经验|招1人|05-15发布,五险一金|弹性工作|定期体检
网络工程师,北京安宁盈科软件系统技术有限公司,0.5-1万/月,北京-海淀区|无工作经验|大专|招若干人|05-15发布,五险一金|餐饮补贴|通讯补贴|定期体检|年终奖金|员工旅游
网络安全和技术支持工程师(职位编号：1),北京安宁盈科软件系统技术有限公司,0.5-1.5万/月,北京-海淀区|1年经验|本科|招3人|05-15发布,五险一金|餐饮补贴|通讯补贴|定期体检|年终奖金|员工旅游
应用软件工程师（数据库方向）,普天信息技术有限公司,0.8-1万/月,北京|3-4年经验|本科|招1人|05-15发布,五险一金|补充医疗保险|补充公积金|交通补贴|年终奖金|专业培训|餐饮补贴|弹性工作|定期体检
高薪招聘程序员,东方爱堡（北京）母婴健康科技有限公司,0.8-1万/月,北京-大兴区|2年经验|招1人|05-15发布,带薪年假|全勤奖|通讯补贴|五险|绩效奖金|餐饮补贴|员工旅游|专业培训
系统安全风控经理,安斯泰来制药（中国）有限公司,2-2.5万/月,北京-朝阳区|无工作经验|招1人|05-15发布|英语熟练,五险一金|补充医疗保险|定期体检|绩效奖金
首席技术官CTO,麦田春雪科贸（北京）有限公司,5-7万/月,北京-朝阳区|10年以上经验|本科|招1人|05-15发布,弹性工作|五险一金|专业培训|绩效奖金
机房值班主管,杭州今元标矩科技有限公司,5.5-7千/月,石家庄|3-4年经验|大专|招5人|05-15发布,五险一金|节日福利|定期体检|定期团建
工业互联网产业联盟秘书SBZ27(职位编号：001710),中国信息通信研究院,0.8-1万/月,北京-海淀区|无工作经验|本科|招2人|05-15发布,五险一金|补充医疗保险|专业培训|通讯补贴|定期体检|绩效奖金|年终奖金
资深系统工程师,北京中体骏彩信息技术有限公司,2.5-3万/月,北京-朝阳区|无工作经验|招1人|05-15发布,五险一金|补充医疗保险|交通补贴|餐饮补贴|绩效奖金|弹性工作|定期体检|通讯补贴|专业培训
信息系统管理工程师SBZ30(职位编号：caict001791),中国信息通信研究院,1.2-1.4万/月,重庆|3-4年经验|本科|招1人|05-15发布,五险一金|补充医疗保险|专业培训|通讯补贴|定期体检|绩效奖金|年终奖金
应用开发工程师SXG08(职位编号：caict001813),中国信息通信研究院,1.4-1.6万/月,北京-海淀区|2年经验|本科|招1人|05-15发布,五险一金|补充医疗保险|专业培训|通讯补贴|定期体检|绩效奖金|年终奖金
IT项目经理SXG09(职位编号：caict001823),中国信息通信研究院,1-1.2万/月,北京-海淀区|无工作经验|本科|招1人|05-15发布,五险一金|补充医疗保险|专业培训|通讯补贴|定期体检|绩效奖金|年终奖金
网络安全工程师,北京宏远科创软件有限公司,1.2-2.5万/月,北京-朝阳区|3-4年经验|本科|招3人|05-15发布,
研发总监,数海信息技术有限公司,2.5-3万/月,北京-丰台区|10年以上经验|本科|招若干人|05-15发布|普通话熟练|信息安全,五险一金|股票期权|餐饮补贴|年终奖金
初级DBA,北京宏远科创软件有限公司,5-8千/月,北京-石景山区|1年经验|大专|招5人|05-15发布,
中级Java开发工程师（光大）,深圳市赢时胜信息技术股份有限公司北京分公司,1-1.5万/月,北京-海淀区|2年经验|本科|招2人|05-15发布,周末双休|带薪年假|五险一金|绩效奖金|交通补贴|餐饮补贴|加班补贴|通讯补贴|专业培训
技术支持工程师-lwt,深圳市赢时胜信息技术股份有限公司北京分公司,0.8-1.5万/月,北京-朝阳区|2年经验|本科|招4人|05-15发布|英语一般|计算机科学与技术,
新媒体运营主管,麦田春雪科贸（北京）有限公司,1-1.5万/月,北京-朝阳区|2年经验|本科|招若干人|05-15发布,弹性工作|五险一金|专业培训|绩效奖金
