165万元,58m²,2.84万/m²,二手商铺,社区底商-临街,1层/共1层,经营中,面宽6m/层高5.5m/进深8m,百货超市,,"办公,学生,居民","杨浦区 五角场
                万达影城(五角场店)","['客梯', '货梯', '中央空调', '停车位', '天然气', '电话/网络', '暖气', '扶梯', '上水', '下水', '排烟', '排污', '管媒', '380V', '可明火', '外摆区']",[],[]
385万元,55m²,7万/m²,二手商铺,商业街店铺-临街,1层/共1层,经营中,面宽7m/层高5.5m/进深9m,餐饮美食,五角场万达广场(商业),"办公,居民,旅游","杨浦区 中原
                国宾路36号","['客梯', '货梯', '中央空调', '停车位', '天然气', '电话/网络', '暖气', '扶梯', '上水', '下水', '排烟', '排污', '管媒', '380V', '可明火', '外摆区']","[['地铁10号线', 'A', '江湾体育场', '距离0.14km'], ['地铁10号线', 'B', '五角场', '距离0.42km']]","[['上海市杨浦区淞沪路8号百联又一城购物中心1层', 'A', '奢殿(百联又一城购物中心)', '距离0.13km'], ['上海市杨浦区淞沪路8号百联又一城购物中心F2', 'B', 'edc(百联又一城购物中心店)', '距离0.15km']]"
285万元,136m²,2.1万/m²,二手商铺,社区底商-临街,1层/共1层,经营中,面宽8m/层高5m/进深15m,餐饮美食,,,"杨浦区 五角场
                万达广场(上海五角场店)","['客梯', '货梯', '中央空调', '停车位', '天然气', '电话/网络', '暖气', '扶梯', '上水', '下水', '排烟', '排污', '管媒', '380V', '可明火', '外摆区']",[],[]
85万元,30m²,2.83万/m²,二手商铺,临街门面-临街,1层/共1层,经营中,面宽6m/层高4.5m/进深5m,餐饮美食,,"办公,居民,旅游","杨浦区 五角场
                CoCo都可茶饮(五角场万达店)","['客梯', '货梯', '中央空调', '停车位', '天然气', '电话/网络', '暖气', '扶梯', '上水', '下水', '排烟', '排污', '管媒', '380V', '可明火', '外摆区']","[['地铁10号线', 'A', '江湾体育场', '距离0.16km'], ['地铁10号线', 'B', '五角场', '距离0.48km']]","[['上海市杨浦区淞沪路8号百联又一城购物中心1层', 'A', '奢殿(百联又一城购物中心)', '距离0.22km'], ['上海市杨浦区淞沪路8号百联又一城购物中心F5', 'B', 'Columbia(百联又一城购物中心店)', '距离0.22km']]"
84万元,42m²,2万/m²,二手商铺,商业街店铺-临街,1层/共1层,经营中,面宽6m/层高6m/进深7m,餐饮美食,,"学生,居民,旅游","杨浦区 五角场
                五角场广场","['客梯', '货梯', '中央空调', '停车位', '天然气', '电话/网络', '暖气', '扶梯', '上水', '下水', '排烟', '排污', '管媒', '380V', '可明火', '外摆区']","[['地铁10号线', 'A', '五角场', '距离0.21km'], ['地铁10号线', 'B', '江湾体育场', '距离0.40km']]","[['上海市杨浦区四平路2500号东方商厦B1', 'A', 'Panasonic(UMAX悠迈生活广场店)', '距离0.16km'], ['上海市杨浦区淞沪路8号百联又一城购物中心F5', 'B', 'FOND OF BAGS(百联又一城购物中心店)', '距离0.18km']]"
113.5万元,33.9m²,3.35万/m²,二手商铺,商业街店铺-临街,1层/共1层,经营中,面宽10m/层高4.6m/进深10m,餐饮美食,,"办公,居民,旅游","杨浦区 五角场
                万达广场(五角场店)A座","['客梯', '货梯', '中央空调', '停车位', '天然气', '电话/网络', '暖气', '扶梯', '上水', '下水', '排烟', '排污', '管媒', '380V', '可明火', '外摆区']","[['地铁10号线', 'A', '五角场', '距离0.25km'], ['地铁10号线', 'B', '江湾体育场', '距离0.31km']]","[['上海市杨浦区淞沪路8号百联又一城购物中心1层', 'A', '奢殿(百联又一城购物中心)', '距离0.22km'], ['上海市杨浦区淞沪路8号', 'B', '百联又一城购物中心', '距离0.23km']]"
295万元,135m²,2.19万/m²,二手商铺,购物百货中心-临街,1层/共1层,经营中,面宽8m/层高5m/进深15m,餐饮美食,五角场万达(办公),"办公,学生,居民","杨浦区 五角场
                国宾路18号","['客梯', '货梯', '中央空调', '停车位', '天然气', '电话/网络', '暖气', '扶梯', '上水', '下水', '排烟', '排污', '管媒', '380V', '可明火', '外摆区']",[],[]
120万元,58m²,2.07万/m²,二手商铺,临街门面-临街,1层/共3层,经营中,面宽7m/层高5.5m/进深8m,餐饮美食,万达广场(上海五角场店),"办公,居民,旅游","杨浦区 中原
                万达广场(上海五角场店)","['客梯', '货梯', '中央空调', '停车位', '天然气', '电话/网络', '暖气', '扶梯', '上水', '下水', '排烟', '排污', '管媒', '380V', '可明火', '外摆区']",[],[]
260万元,78m²,3.33万/m²,商铺新盘,社区底商-临街,1层/共1层,空置中,面宽13.2m/层高4.8m/进深8.9m,餐饮美食,延吉东路/靖宇东路(路口),"办公,学生,居民","杨浦区 杨浦公园/延吉
                延吉东路/靖宇东路(路口)","['客梯', '货梯', '中央空调', '停车位', '天然气', '电话/网络', '暖气', '扶梯', '上水', '下水', '排烟', '排污', '管媒', '380V', '可明火', '外摆区']","[['地铁8号线', 'A', '延吉中路', '距离1.06km'], ['地铁8号线', 'B', '黄兴公园', '距离1.07km']]","[['上海市杨浦区靖宇东路114号附近', 'A', '四季鲜果生鲜超市', '距离0.17km'], ['上海市杨浦区图们路10号', 'B', '联华超市(图们店)', '距离0.54km']]"
500万元,110m²,4.55万/m²,二手商铺,商业街店铺-临街,1层/共1层,经营中,面宽6.5m/层高4.5m/进深10m,餐饮美食,五角场万达广场(商业),"办公,居民,旅游","杨浦区 五角场
                国宾路36号","['客梯', '货梯', '中央空调', '停车位', '天然气', '电话/网络', '暖气', '扶梯', '上水', '下水', '排烟', '排污', '管媒', '380V', '可明火', '外摆区']","[['地铁10号线', 'A', '江湾体育场', '距离0.14km'], ['地铁10号线', 'B', '五角场', '距离0.42km']]","[['上海市杨浦区淞沪路8号百联又一城购物中心1层', 'A', '奢殿(百联又一城购物中心)', '距离0.13km'], ['上海市杨浦区淞沪路8号百联又一城购物中心F2', 'B', 'edc(百联又一城购物中心店)', '距离0.15km']]"
125万元,42.06m²,2.97万/m²,二手商铺,社区底商-临街,1层/共1层,空置中,面宽6.1m/层高4.2m/进深7.5m,,控江路商铺,"办公,居民,旅游","杨浦区 新华医院
                控江路","['客梯', '货梯', '中央空调', '停车位', '天然气', '电话/网络', '暖气', '扶梯', '上水', '下水', '排烟', '排污', '管媒', '380V', '可明火', '外摆区']",[],[]
53万元,34m²,1.56万/m²,二手商铺,临街门面-临街,1层/共1层,经营中,面宽4.4m/层高5.2m/进深7.8m,餐饮美食,,"办公,学生,居民","杨浦区 平凉路
                河间路","['客梯', '货梯', '中央空调', '停车位', '天然气', '电话/网络', '暖气', '扶梯', '上水', '下水', '排烟', '排污', '管媒', '380V', '可明火', '外摆区']","[['地铁12号线', 'A', '宁国路', '距离0.39km'], ['地铁12号线', 'B', '江浦公园', '距离0.97km']]","[['隆昌路214', 'A', '农工商超市(隆昌路店)', '距离1.49km'], ['杨浦区控江路1736号(近鞍山路)', 'B', '环球超市(控江路店)', '距离2.14km']]"
130万元,58m²,2.24万/m²,二手商铺,临街门面-临街,1层/共3层,经营中,面宽7m/层高5.5m/进深8m,餐饮美食,万达广场(上海五角场店),"办公,居民,旅游","杨浦区 中原
                万达广场(上海五角场店)","['客梯', '货梯', '中央空调', '停车位', '天然气', '电话/网络', '暖气', '扶梯', '上水', '下水', '排烟', '排污', '管媒', '380V', '可明火', '外摆区']",[],[]
,,,,,,,,,,,,[],[],[]
68.5万元,37.2m²,1.84万/m²,二手商铺,社区底商-临街,1层/共1层,空置中,面宽6m/层高5.5m/进深6.2m,餐饮美食,控江路商铺,"办公,居民,旅游","杨浦区 杨浦公园/延吉
                控江路","['客梯', '货梯', '中央空调', '停车位', '天然气', '电话/网络', '暖气', '扶梯', '上水', '下水', '排烟', '排污', '管媒', '380V', '可明火', '外摆区']","[['地铁8号线', 'A', '黄兴路', '距离0.16km'], ['地铁8号线', 'B', '延吉中路', '距离1.13km']]","[['杨浦区控江路1736号(近鞍山路)', 'A', '环球超市(控江路店)', '距离1.66km'], ['上海市杨浦区图们路29号附近', 'B', '蔬果廉生鲜超市', '距离2.07km']]"
642万元,103m²,6.23万/m²,二手商铺,社区底商-临街,1层/共1层,空置中,面宽12m/层高5m/进深8m,,滨江晶典商铺,"办公,学生,居民","杨浦区 平凉路
                惠民路1018弄","['客梯', '货梯', '中央空调', '停车位', '天然气', '电话/网络', '暖气', '扶梯', '上水', '下水', '排烟', '排污', '管媒', '380V', '可明火', '外摆区']",[],[]
