242万元,60m²,4.03万/m²,二手商铺,购物百货中心,1层/共1层,经营中,面宽9m/层高5m/进深6m,百货超市,,"办公,学生,居民","杨浦区 五角场
                五角场","['客梯', '货梯', '中央空调', '停车位', '天然气', '电话/网络', '暖气', '扶梯', '上水', '下水', '排烟', '排污', '管媒', '380V', '可明火', '外摆区']","[['地铁10号线', 'A', '五角场', '距离0.00km'], ['地铁10号线', 'B', '江湾体育场', '距离0.55km']]","[['上海市杨浦区四平路2500号东方商厦B1', 'A', 'Panasonic(UMAX悠迈生活广场店)', '距离0.14km'], ['上海市杨浦区四平路2500号UMAX悠迈生活广场F1', 'B', 'GUESS(悠迈生活广场店)', '距离0.15km']]"
463万元,87.24m²,5.31万/m²,二手商铺,商业街店铺-临街,1层/共1层,经营中,面宽10m/层高4.5m/进深8.5m,餐饮美食,,"办公,居民,旅游","杨浦区 五角场
                上海五角场万达广场C座","['客梯', '货梯', '中央空调', '停车位', '天然气', '电话/网络', '暖气', '扶梯', '上水', '下水', '排烟', '排污', '管媒', '380V', '可明火', '外摆区']","[['地铁10号线', 'A', '江湾体育场', '距离0.10km'], ['地铁10号线', 'B', '五角场', '距离0.49km']]","[['上海市杨浦区淞沪路8号百联又一城购物中心F5', 'A', 'Columbia(百联又一城购物中心店)', '距离0.16km'], ['上海市杨浦区淞沪路8号百联又一城购物中心1层', 'B', '奢殿(百联又一城购物中心)', '距离0.17km']]"
3500万元,1368m²,2.56万/m²,二手商铺,临街门面-临街,,经营中,面宽23m/层高5.5m/进深15m,餐饮美食,万达广场(上海五角场店),"办公,居民,学生","杨浦区 五角场
                万达广场(上海五角场店)","['客梯', '货梯', '中央空调', '停车位', '天然气', '电话/网络', '暖气', '扶梯', '上水', '下水', '排烟', '排污', '管媒', '380V', '可明火', '外摆区']","[['地铁10号线', 'A', '江湾体育场', '距离0.14km'], ['地铁10号线', 'B', '五角场', '距离0.42km']]","[['上海市杨浦区淞沪路8号百联又一城购物中心1层', 'A', '奢殿(百联又一城购物中心)', '距离0.13km'], ['上海市杨浦区淞沪路8号百联又一城购物中心F2', 'B', 'edc(百联又一城购物中心店)', '距离0.15km']]"
600万元,86m²,6.98万/m²,二手商铺,社区底商-临街,1层/共1层,空置中,面宽10m/层高4.8m/进深8m,,五角场万达广场(商业),"办公,学生,居民","杨浦区 五角场
                五角场万达广场写字楼","['客梯', '货梯', '中央空调', '停车位', '天然气', '电话/网络', '暖气', '扶梯', '上水', '下水', '排烟', '排污', '管媒', '380V', '可明火', '外摆区']","[['地铁10号线', 'A', '五角场', '距离0.24km'], ['地铁10号线', 'B', '江湾体育场', '距离0.31km']]","[['上海市杨浦区淞沪路8号百联又一城购物中心F5', 'A', 'FOND OF BAGS(百联又一城购物中心店)', '距离0.17km'], ['上海市杨浦区淞沪路8号', 'B', '百联又一城购物中心', '距离0.18km']]"
360万元,96m²,3.75万/m²,二手商铺,商业街店铺-临街,1层/共1层,经营中,面宽9m/层高5m/进深10m,餐饮美食,,"办公,居民,旅游","杨浦区 五角场
                万达广场","['客梯', '货梯', '中央空调', '停车位', '天然气', '电话/网络', '暖气', '扶梯', '上水', '下水', '排烟', '排污', '管媒', '380V', '可明火', '外摆区']",[],"[['地铁10号线', 'A', '豫园', '距离0.58km'], ['地铁10号线; 地铁2号线', 'B', '南京东路', '距离1.58km']]"
620万元,185m²,3.35万/m²,二手商铺,商业街店铺-临街,1层/共1层,经营中,面宽18m/层高5m/进深10m,餐饮美食,,"办公,旅游,居民","杨浦区 五角场
                五角场广场","['客梯', '货梯', '中央空调', '停车位', '天然气', '电话/网络', '暖气', '扶梯', '上水', '下水', '排烟', '排污', '管媒', '380V', '可明火', '外摆区']","[['地铁10号线', 'A', '五角场', '距离0.21km'], ['地铁10号线', 'B', '江湾体育场', '距离0.40km']]","[['上海市杨浦区四平路2500号东方商厦B1', 'A', 'Panasonic(UMAX悠迈生活广场店)', '距离0.16km'], ['上海市杨浦区淞沪路8号百联又一城购物中心F5', 'B', 'FOND OF BAGS(百联又一城购物中心店)', '距离0.18km']]"
600万元,98.21m²,6.11万/m²,二手商铺,临街门面-临街,1层/共1层,经营中,面宽8m/层高5.2m/进深11m,餐饮美食,五角场万达(办公),"办公,居民,旅游","杨浦区 五角场
                国宾路18号","['客梯', '货梯', '中央空调', '停车位', '天然气', '电话/网络', '暖气', '扶梯', '上水', '下水', '排烟', '排污', '管媒', '380V', '可明火', '外摆区']",[],[]
76万元,30m²,2.53万/m²,二手商铺,商业街店铺-临街,,经营中,面宽5m/层高5.2m/进深6m,餐饮美食,,"学生,居民,旅游","杨浦区 五角场
                五角场广场","['客梯', '货梯', '中央空调', '停车位', '天然气', '电话/网络', '暖气', '扶梯', '上水', '下水', '排烟', '排污', '管媒', '380V', '可明火', '外摆区']","[['地铁10号线', 'A', '五角场', '距离0.21km'], ['地铁10号线', 'B', '江湾体育场', '距离0.40km']]","[['上海市杨浦区四平路2500号东方商厦B1', 'A', 'Panasonic(UMAX悠迈生活广场店)', '距离0.16km'], ['上海市杨浦区淞沪路8号百联又一城购物中心F5', 'B', 'FOND OF BAGS(百联又一城购物中心店)', '距离0.18km']]"
3200万元,1000m²,3.2万/m²,二手商铺,临街门面-临街,1层/共1层,空置中,面宽33m/层高6m/进深33m,,新江湾城商铺,"办公,居民,旅游","杨浦区 新江湾城
                新江湾城","['客梯', '货梯', '中央空调', '停车位', '天然气', '电话/网络', '暖气', '扶梯', '上水', '下水', '排烟', '排污', '管媒', '380V', '可明火', '外摆区']","[['地铁10号线', 'A', '新江湾城', '距离0.00km'], ['地铁10号线', 'B', '殷高东路', '距离0.77km']]","[['上海市杨浦区殷行路1388号悠方购物公园B1层', 'A', '盒马鲜生(新江湾店)', '距离0.17km'], ['上海市杨浦区国晓路500弄九龙仓玺园30号楼', 'B', '玺园超市(殷行路店)', '距离0.19km']]"
450万元,126.31m²,3.56万/m²,二手商铺,商业街店铺-临街,1层/共1层,经营中,面宽12m/层高5m/进深9m,餐饮美食,五角场万达广场(商业),"办公,旅游,居民","杨浦区 中原
                国宾路36号","['客梯', '货梯', '中央空调', '停车位', '天然气', '电话/网络', '暖气', '扶梯', '上水', '下水', '排烟', '排污', '管媒', '380V', '可明火', '外摆区']",[],"[['上海市杨浦区淞沪路8号百联又一城购物中心1层', 'A', '奢殿(百联又一城购物中心)', '距离0.13km'], ['上海市杨浦区淞沪路8号百联又一城购物中心F2', 'B', 'edc(百联又一城购物中心店)', '距离0.15km']]"
1000万元,222m²,4.5万/m²,二手商铺,临街门面-临街,1层/共1层,经营中,面宽20m/层高5m/进深11m,餐饮美食,,"办公,学生,居民","杨浦区 平凉路
                新天地时尚","['客梯', '货梯', '中央空调', '停车位', '天然气', '电话/网络', '暖气', '扶梯', '上水', '下水', '排烟', '排污', '管媒', '380V', '可明火', '外摆区']","[['地铁10号线; 地铁13号线', 'A', '新天地', '距离0.16km'], ['地铁13号线', 'B', '淮海中路', '距离1.11km']]","[['上海市黄浦区进贤路134号(近茂名南路)', 'A', '茂隆(进贤路店)', '距离1.56km'], ['上海市静安区巨鹿路568弄四方新城俱乐部2层(近襄阳北路)', 'B', 'Maya(四方新城店)', '距离1.94km']]"
750万元,142.85m²,5.25万/m²,二手商铺,商业街店铺-临街,1层/共1层,经营中,面宽5m/层高3m/进深4m,百货超市,五角场万达广场(商业),,"杨浦区 五角场
                国宾路18号","['客梯', '货梯', '中央空调', '停车位', '天然气', '电话/网络', '暖气', '扶梯', '上水', '下水', '排烟', '排污', '管媒', '380V', '可明火', '外摆区']","[['地铁10号线', 'A', '江湾体育场', '距离0.14km'], ['地铁10号线', 'B', '五角场', '距离0.42km']]","[['上海市杨浦区淞沪路8号百联又一城购物中心1层', 'A', '奢殿(百联又一城购物中心)', '距离0.13km'], ['上海市杨浦区淞沪路8号百联又一城购物中心F2', 'B', 'edc(百联又一城购物中心店)', '距离0.15km']]"
195.8万元,52m²,3.77万/m²,二手商铺,临街门面-临街,1层/共1层,经营中,面宽7m/层高4.5m/进深9m,餐饮美食,,"办公,居民,旅游","杨浦区 五角场
                五角场万达广场写字楼","['客梯', '货梯', '中央空调', '停车位', '天然气', '电话/网络', '暖气', '扶梯', '上水', '下水', '排烟', '排污', '管媒', '380V', '可明火', '外摆区']","[['地铁10号线', 'A', '五角场', '距离0.24km'], ['地铁10号线', 'B', '江湾体育场', '距离0.31km']]","[['上海市杨浦区淞沪路8号百联又一城购物中心F5', 'A', 'FOND OF BAGS(百联又一城购物中心店)', '距离0.17km'], ['上海市杨浦区淞沪路8号', 'B', '百联又一城购物中心', '距离0.18km']]"
,,,,,,,,,,,,[],[],[]
111.5万元,39.8m²,2.8万/m²,二手商铺,商业街店铺-临街,1层/共1层,经营中,面宽10m/层高4.6m/进深10m,餐饮美食,,"办公,居民,旅游","杨浦区 五角场
                万达广场(五角场店)B区","['客梯', '货梯', '中央空调', '停车位', '天然气', '电话/网络', '暖气', '扶梯', '上水', '下水', '排烟', '排污', '管媒', '380V', '可明火', '外摆区']","[['地铁10号线', 'A', '江湾体育场', '距离0.22km'], ['地铁10号线', 'B', '五角场', '距离0.36km']]","[['上海市杨浦区淞沪路8号百联又一城购物中心1层', 'A', '奢殿(百联又一城购物中心)', '距离0.20km'], ['上海市杨浦区淞沪路8号百联又一城购物中心F2', 'B', 'edc(百联又一城购物中心店)', '距离0.22km']]"
58万元,28m²,2.07万/m²,二手商铺,社区底商-临街,1层/共1层,空置中,面宽5m/层高4.5m/进深5.5m,餐饮美食,鞍山路商铺,"办公,学生,居民","杨浦区 控江路
                鞍山路","['客梯', '货梯', '中央空调', '停车位', '天然气', '电话/网络', '暖气', '扶梯', '上水', '下水', '排烟', '排污', '管媒', '380V', '可明火', '外摆区']","[['地铁8号线', 'A', '江浦路', '距离0.87km'], ['地铁10号线; 地铁8号线', 'B', '四平路', '距离0.89km']]","[['杨浦区控江路1736号(近鞍山路)', 'A', '环球超市(控江路店)', '距离0.60km'], ['上海市杨浦区黄兴路1618号大润发F2', 'B', '童年阳光(大润发店)', '距离1.66km']]"
87.6万元,32.2m²,2.72万/m²,二手商铺,其他-临街,1层/共1层,经营中,面宽10m/层高4.5m/进深10m,餐饮美食,,"办公,居民,旅游","杨浦区 五角场
                喜茶(五角万达店)","['客梯', '货梯', '中央空调', '停车位', '天然气', '电话/网络', '暖气', '扶梯', '上水', '下水', '排烟', '排污', '管媒', '380V', '可明火', '外摆区']","[['地铁10号线', 'A', '江湾体育场', '距离0.09km'], ['地铁10号线', 'B', '五角场', '距离0.50km']]","[['上海市杨浦区淞沪路8号百联又一城购物中心F5', 'A', 'Columbia(百联又一城购物中心店)', '距离0.17km'], ['上海市杨浦区淞沪路8号百联又一城购物中心1层', 'B', '奢殿(百联又一城购物中心)', '距离0.18km']]"
1030万元,178m²,5.79万/m²,商铺新盘,其他-临街,1层/共1层,空置中,面宽25m/层高5m/进深7m,,延吉东路125弄小区商铺,,"杨浦区 杨浦公园/延吉
                延吉东路/靖宇东路(路口)","['客梯', '货梯', '中央空调', '停车位', '天然气', '电话/网络', '暖气', '扶梯', '上水', '下水', '排烟', '排污', '管媒', '380V', '可明火', '外摆区']","[['地铁8号线', 'A', '延吉中路', '距离1.06km'], ['地铁8号线', 'B', '黄兴公园', '距离1.07km']]","[['上海市杨浦区靖宇东路114号附近', 'A', '四季鲜果生鲜超市', '距离0.17km'], ['上海市杨浦区图们路10号', 'B', '联华超市(图们店)', '距离0.54km']]"
88万元,48.55m²,1.81万/m²,二手商铺,社区底商-临街,1层/共1层,经营中,面宽5m/层高4.5m/进深5.5m,餐饮美食,江浦路商铺,"办公,学生,居民","杨浦区 江浦路
                江浦路","['客梯', '货梯', '中央空调', '停车位', '天然气', '电话/网络', '暖气', '扶梯', '上水', '下水', '排烟', '排污', '管媒', '380V', '可明火', '外摆区']",[],[]
93.8万元,39.9m²,2.35万/m²,二手商铺,商业街店铺-临街,1层/共1层,经营中,面宽10m/层高4.6m/进深10m,餐饮美食,,"办公,居民,旅游","杨浦区 五角场
                万达广场(五角场店)A座","['客梯', '货梯', '中央空调', '停车位', '天然气', '电话/网络', '暖气', '扶梯', '上水', '下水', '排烟', '排污', '管媒', '380V', '可明火', '外摆区']","[['地铁10号线', 'A', '五角场', '距离0.25km'], ['地铁10号线', 'B', '江湾体育场', '距离0.31km']]","[['上海市杨浦区淞沪路8号百联又一城购物中心1层', 'A', '奢殿(百联又一城购物中心)', '距离0.22km'], ['上海市杨浦区淞沪路8号', 'B', '百联又一城购物中心', '距离0.23km']]"
98.9万元,41.2m²,2.4万/m²,二手商铺,商业街店铺-临街,1层/共1层,经营中,面宽10m/层高4.6m/进深10m,餐饮美食,,"办公,居民,旅游","杨浦区 五角场
                万达广场(五角场店)A座","['客梯', '货梯', '中央空调', '停车位', '天然气', '电话/网络', '暖气', '扶梯', '上水', '下水', '排烟', '排污', '管媒', '380V', '可明火', '外摆区']","[['地铁10号线', 'A', '五角场', '距离0.25km'], ['地铁10号线', 'B', '江湾体育场', '距离0.31km']]","[['上海市杨浦区淞沪路8号百联又一城购物中心1层', 'A', '奢殿(百联又一城购物中心)', '距离0.22km'], ['上海市杨浦区淞沪路8号', 'B', '百联又一城购物中心', '距离0.23km']]"
105.8万元,55.6m²,1.9万/m²,二手商铺,商业街店铺-临街,1层/共1层,经营中,面宽6.5m/层高4.6m/进深7.5m,餐饮美食,,"办公,居民,旅游","杨浦区 五角场
                万达广场(五角场店)A座","['客梯', '货梯', '中央空调', '停车位', '天然气', '电话/网络', '暖气', '扶梯', '上水', '下水', '排烟', '排污', '管媒', '380V', '可明火', '外摆区']","[['地铁10号线', 'A', '五角场', '距离0.25km'], ['地铁10号线', 'B', '江湾体育场', '距离0.31km']]","[['上海市杨浦区淞沪路8号百联又一城购物中心1层', 'A', '奢殿(百联又一城购物中心)', '距离0.22km'], ['上海市杨浦区淞沪路8号', 'B', '百联又一城购物中心', '距离0.23km']]"
84万元,42m²,2万/m²,二手商铺,商业街店铺-临街,1层/共1层,经营中,面宽6m/层高6m/进深7m,餐饮美食,,"学生,居民,旅游","杨浦区 五角场
                五角场广场","['客梯', '货梯', '中央空调', '停车位', '天然气', '电话/网络', '暖气', '扶梯', '上水', '下水', '排烟', '排污', '管媒', '380V', '可明火', '外摆区']","[['地铁10号线', 'A', '五角场', '距离0.21km'], ['地铁10号线', 'B', '江湾体育场', '距离0.40km']]","[['上海市杨浦区四平路2500号东方商厦B1', 'A', 'Panasonic(UMAX悠迈生活广场店)', '距离0.16km'], ['上海市杨浦区淞沪路8号百联又一城购物中心F5', 'B', 'FOND OF BAGS(百联又一城购物中心店)', '距离0.18km']]"
71万元,33m²,2.15万/m²,二手商铺,临街门面-临街,1层/共1层,空置中,面宽4m/层高3.8m/进深8.2m,餐饮美食,,"办公,居民,学生","杨浦区 中原
                国和路/包头路(路口)","['客梯', '货梯', '中央空调', '停车位', '天然气', '电话/网络', '暖气', '扶梯', '上水', '下水', '排烟', '排污', '管媒', '380V', '可明火', '外摆区']","[['地铁8号线', 'A', '嫩江路', '距离0.72km'], ['地铁8号线', 'B', '市光路', '距离0.77km']]","[['上海市杨浦区殷行路290', 'A', '洋洋平价日用百货', '距离1.14km'], ['包头路1150弄城市名园7号', 'B', '华联超市(包头路店)', '距离1.36km']]"
72.9万元,37.5m²,1.94万/m²,二手商铺,商业街店铺-临街,1层/共1层,经营中,面宽10m/层高4.6m/进深10m,餐饮美食,,"办公,居民,旅游","杨浦区 五角场
                万达广场五角场店-南门","['客梯', '货梯', '中央空调', '停车位', '天然气', '电话/网络', '暖气', '扶梯', '上水', '下水', '排烟', '排污', '管媒', '380V', '可明火', '外摆区']","[['地铁10号线', 'A', '五角场', '距离0.23km'], ['地铁10号线', 'B', '江湾体育场', '距离0.33km']]","[['上海市杨浦区淞沪路8号百联又一城购物中心1层', 'A', '奢殿(百联又一城购物中心)', '距离0.23km'], ['上海市杨浦区淞沪路8号', 'B', '百联又一城购物中心', '距离0.24km']]"
3988万元,614.97m²,6.48万/m²,商铺新盘,社区底商-临街,1层/共2层,空置中,面宽20m/层高6.1m/进深18m,,新江湾城,"办公,旅游,居民","杨浦区 新江湾城
                新江湾城","['客梯', '货梯', '中央空调', '停车位', '天然气', '电话/网络', '暖气', '扶梯', '上水', '下水', '排烟', '排污', '管媒', '380V', '可明火', '外摆区']","[['地铁3号线', 'A', '淞发路', '距离0.47km'], ['地铁10号线', 'B', '新江湾城', '距离1.45km']]","[['上海市宝山区淞发路25弄49号附近', 'A', '联华(芯杰店)', '距离0.59km'], ['上海市宝山区逸仙路3456弄21附近', 'B', '生活超市', '距离0.64km']]"
100万元,108m²,9259.26元/m²,二手商铺,购物百货中心-临街,1层/共1层,空置中,面宽7.3m/层高4.5m/进深13.2m,餐饮美食,紫荆广场,"办公,学生,居民","杨浦区 五角场
                星巴克(紫荆广场店)","['客梯', '货梯', '中央空调', '停车位', '天然气', '电话/网络', '暖气', '扶梯', '上水', '下水', '排烟', '排污', '管媒', '380V', '可明火', '外摆区']","[['地铁8号线', 'A', '江浦路', '距离0.15km'], ['地铁8号线', 'B', '黄兴路', '距离1.19km']]","[['杨浦区控江路1736号(近鞍山路)', 'A', '环球超市(控江路店)', '距离0.31km'], ['上海市杨浦区靖宇南路126', 'B', '生鲜超市', '距离1.22km']]"
450万元,93m²,4.84万/m²,二手商铺,临街门面-临街,1层/共1层,经营中,面宽6m/层高4.5m/进深15m,百货超市,,"办公,学生,居民","杨浦区 江浦路
                平凉路与齐齐哈尔路交叉口","['客梯', '货梯', '中央空调', '停车位', '天然气', '电话/网络', '暖气', '扶梯', '上水', '下水', '排烟', '排污', '管媒', '380V', '可明火', '外摆区']","[['地铁12号线', 'A', '宁国路', '距离1.05km'], ['地铁4号线', 'B', '杨树浦路', '距离1.42km']]","[['杨浦区控江路1736号(近鞍山路)', 'A', '环球超市(控江路店)', '距离2.17km'], ['隆昌路214', 'B', '农工商超市(隆昌路店)', '距离2.17km']]"
53万元,34m²,1.56万/m²,二手商铺,临街门面-临街,1层/共1层,经营中,面宽4.4m/层高5.2m/进深7.8m,餐饮美食,,"办公,学生,居民","杨浦区 平凉路
                河间路","['客梯', '货梯', '中央空调', '停车位', '天然气', '电话/网络', '暖气', '扶梯', '上水', '下水', '排烟', '排污', '管媒', '380V', '可明火', '外摆区']","[['地铁12号线', 'A', '宁国路', '距离0.39km'], ['地铁12号线', 'B', '江浦公园', '距离0.97km']]","[['隆昌路214', 'A', '农工商超市(隆昌路店)', '距离1.49km'], ['杨浦区控江路1736号(近鞍山路)', 'B', '环球超市(控江路店)', '距离2.14km']]"
380万元,124m²,3.06万/m²,二手商铺,商业街店铺-临街,1层/共2层,经营中,面宽10m/层高5m/进深12m,餐饮美食,五角场万达(办公),"办公,学生,居民","杨浦区 五角场
                国宾路18号","['客梯', '货梯', '中央空调', '停车位', '天然气', '电话/网络', '暖气', '扶梯', '上水', '下水', '排烟', '排污', '管媒', '380V', '可明火', '外摆区']","[['地铁10号线', 'A', '五角场', '距离0.28km'], ['地铁10号线', 'B', '江湾体育场', '距离0.30km']]","[['上海市杨浦区淞沪路8号百联又一城购物中心1层', 'A', '奢殿(百联又一城购物中心)', '距离0.23km'], ['上海市杨浦区淞沪路8号', 'B', '百联又一城购物中心', '距离0.25km']]"
642万元,103m²,6.23万/m²,二手商铺,社区底商-临街,1层/共1层,空置中,面宽12m/层高5m/进深8m,百货超市,滨江晶典商铺,"办公,学生,居民","杨浦区 平凉路
                惠民路1018弄","['客梯', '货梯', '中央空调', '停车位', '天然气', '电话/网络', '暖气', '扶梯', '上水', '下水', '排烟', '排污', '管媒', '380V', '可明火', '外摆区']","[['地铁4号线', 'A', '杨树浦路', '距离1.44km'], ['地铁12号线; 地铁4号线', 'B', '大连路', '距离1.47km']]","[['杨浦区控江路1736号(近鞍山路)', 'A', '环球超市(控江路店)', '距离1.97km'], ['隆昌路214', 'B', '农工商超市(隆昌路店)', '距离2.19km']]"
,,,,,,,,,,,,[],[],[]
450万元,64.21m²,7.01万/m²,二手商铺,临街门面-临街,1层/共1层,经营中,面宽4.7m/层高5.2m/进深9.19m,餐饮美食,五角场万达(办公),"办公,居民,旅游","杨浦区 五角场
                国宾路18号","['客梯', '货梯', '中央空调', '停车位', '天然气', '电话/网络', '暖气', '扶梯', '上水', '下水', '排烟', '排污', '管媒', '380V', '可明火', '外摆区']","[['地铁10号线', 'A', '五角场', '距离0.28km'], ['地铁10号线', 'B', '江湾体育场', '距离0.30km']]","[['上海市杨浦区淞沪路8号百联又一城购物中心1层', 'A', '奢殿(百联又一城购物中心)', '距离0.23km'], ['上海市杨浦区淞沪路8号', 'B', '百联又一城购物中心', '距离0.25km']]"
75万元,34m²,2.21万/m²,二手商铺,临街门面-临街,1层/共1层,空置中,面宽4m/层高4.2m/进深8.2m,餐饮美食,,"办公,居民,学生","杨浦区 平凉路
                隆昌路/河间路(路口)","['客梯', '货梯', '中央空调', '停车位', '天然气', '电话/网络', '暖气', '扶梯', '上水', '下水', '排烟', '排污', '管媒', '380V', '可明火', '外摆区']","[['地铁12号线', 'A', '隆昌路', '距离0.29km'], ['地铁12号线', 'B', '爱国路', '距离1.14km']]","[['上海市杨浦区图们路10号', 'A', '联华超市(图们店)', '距离2.01km'], ['敦化路151号', 'B', '华联超市(敦化路店)', '距离2.06km']]"
415万元,89m²,4.66万/m²,二手商铺,商业街店铺-临街,1层/共1层,经营中,面宽10m/层高5m/进深9m,餐饮美食,,"办公,居民,旅游","杨浦区 五角场
                DQ(五角场万达店)","['客梯', '货梯', '中央空调', '停车位', '天然气', '电话/网络', '暖气', '扶梯', '上水', '下水', '排烟', '排污', '管媒', '380V', '可明火', '外摆区']","[['地铁10号线', 'A', '江湾体育场', '距离0.12km'], ['地铁10号线', 'B', '五角场', '距离0.49km']]","[['上海市杨浦区淞沪路8号百联又一城购物中心F5', 'A', 'Columbia(百联又一城购物中心店)', '距离0.19km'], ['上海市杨浦区淞沪路8号百联又一城购物中心1层', 'B', '奢殿(百联又一城购物中心)', '距离0.20km']]"
430万元,125m²,3.44万/m²,二手商铺,商业街店铺-临街,1层/共1层,经营中,面宽10m/层高5m/进深12m,餐饮美食,五角场万达广场(商业),"办公,居民,旅游","杨浦区 杨浦周边
                五角场","['客梯', '货梯', '中央空调', '停车位', '天然气', '电话/网络', '暖气', '扶梯', '上水', '下水', '排烟', '排污', '管媒', '380V', '可明火', '外摆区']","[['地铁10号线', 'A', '五角场', '距离0.00km'], ['地铁10号线', 'B', '江湾体育场', '距离0.55km']]","[['上海市杨浦区四平路2500号东方商厦B1', 'A', 'Panasonic(UMAX悠迈生活广场店)', '距离0.14km'], ['上海市杨浦区四平路2500号UMAX悠迈生活广场F1', 'B', 'GUESS(悠迈生活广场店)', '距离0.15km']]"
48万元,28m²,1.71万/m²,二手商铺,社区底商-临街,1层/共1层,空置中,面宽4m/层高4.5m/进深6.5m,餐饮美食,平凉路商铺,"办公,居民,旅游","杨浦区 平凉路
                平凉路","['客梯', '货梯', '中央空调', '停车位', '天然气', '电话/网络', '暖气', '扶梯', '上水', '下水', '排烟', '排污', '管媒', '380V', '可明火', '外摆区']","[['地铁12号线', 'A', '宁国路', '距离0.68km'], ['地铁12号线', 'B', '江浦公园', '距离1.32km']]","[['控江路645弄21-3临', 'A', '延吉社区第四睦邻中心', '距离2.19km'], ['上海市杨浦区延吉中路77-1号(近永吉路)', 'B', '农工商超市(永吉店)', '距离2.27km']]"
1000万元,127m²,7.87万/m²,二手商铺,临街门面-临街,1层/共1层,经营中,面宽20m/层高5m/进深6m,餐饮美食,,"办公,居民,旅游","杨浦区 五角场
                黄兴路1687号","['客梯', '货梯', '中央空调', '停车位', '天然气', '电话/网络', '暖气', '扶梯', '上水', '下水', '排烟', '排污', '管媒', '380V', '可明火', '外摆区']","[['地铁10号线', 'A', '国权路', '距离0.94km'], ['地铁10号线', 'B', '五角场', '距离1.09km']]","[['上海市杨浦区四平路2500号UMAX悠迈生活广场F1', 'A', 'GUESS(悠迈生活广场店)', '距离1.01km'], ['上海市杨浦区淞沪路8号百联又一城购物中心F5', 'B', 'FOND OF BAGS(百联又一城购物中心店)', '距离1.37km']]"
1650万元,229m²,7.21万/m²,二手商铺,商业街店铺-临街,1层/共1层,经营中,面宽12m/层高5m/进深12m,餐饮美食,,"办公,居民,学生","杨浦区 平凉路
                宁国路与平凉路交叉口","['客梯', '货梯', '中央空调', '停车位', '天然气', '电话/网络', '暖气', '扶梯', '上水', '下水', '排烟', '排污', '管媒', '380V', '可明火', '外摆区']","[['地铁12号线', 'A', '宁国路', '距离0.71km'], ['地铁12号线', 'B', '江浦公园', '距离1.29km']]","[['隆昌路214', 'A', '农工商超市(隆昌路店)', '距离1.27km'], ['上海市浦东新区浦东大道2353号', 'B', '世纪华联超市(浦东大道店)', '距离1.92km']]"
62万元,26.9m²,2.3万/m²,二手商铺,商业街店铺-临街,1层/共1层,经营中,面宽6m/层高4.5m/进深4m,餐饮美食,五角场万达广场(商业),"办公,学生,居民","杨浦区 中原
                国宾路36号","['客梯', '货梯', '中央空调', '停车位', '天然气', '电话/网络', '暖气', '扶梯', '上水', '下水', '排烟', '排污', '管媒', '380V', '可明火', '外摆区']","[['地铁10号线', 'A', '江湾体育场', '距离0.14km'], ['地铁10号线', 'B', '五角场', '距离0.42km']]","[['上海市杨浦区淞沪路8号百联又一城购物中心1层', 'A', '奢殿(百联又一城购物中心)', '距离0.13km'], ['上海市杨浦区淞沪路8号百联又一城购物中心F2', 'B', 'edc(百联又一城购物中心店)', '距离0.15km']]"
450万元,83m²,5.42万/m²,二手商铺,商业街店铺-临街,1层/共1层,经营中,面宽8m/层高5.5m/进深10m,餐饮美食,五角场万达广场(商业),"办公,学生,居民","杨浦区 中原
                国宾路36号","['客梯', '货梯', '中央空调', '停车位', '天然气', '电话/网络', '暖气', '扶梯', '上水', '下水', '排烟', '排污', '管媒', '380V', '可明火', '外摆区']","[['地铁10号线', 'A', '江湾体育场', '距离0.14km'], ['地铁10号线', 'B', '五角场', '距离0.42km']]","[['上海市杨浦区淞沪路8号百联又一城购物中心1层', 'A', '奢殿(百联又一城购物中心)', '距离0.13km'], ['上海市杨浦区淞沪路8号百联又一城购物中心F2', 'B', 'edc(百联又一城购物中心店)', '距离0.15km']]"
59万元,38m²,1.55万/m²,二手商铺,临街门面-临街,1层/共1层,经营中,面宽5.1m/层高4.8m/进深7.5m,餐饮美食,,"办公,学生,居民","杨浦区 五角场
                许昌路","['客梯', '货梯', '中央空调', '停车位', '天然气', '电话/网络', '暖气', '扶梯', '上水', '下水', '排烟', '排污', '管媒', '380V', '可明火', '外摆区']","[['地铁12号线; 地铁4号线', 'A', '大连路', '距离0.84km'], ['地铁4号线', 'B', '杨树浦路', '距离1.24km']]","[['杨浦区控江路1736号(近鞍山路)', 'A', '环球超市(控江路店)', '距离1.36km'], ['平凉路1163号', 'B', '来伊份(平凉路六店)', '距离2.45km']]"
50.1万元,18.21m²,2.75万/m²,二手商铺,社区底商-临街,1层/共1层,经营中,面宽4m/层高3.5m/进深4m,餐饮美食,五角场万达广场(商业),"办公,居民,旅游","杨浦区 中原
                国宾路36号","['客梯', '货梯', '中央空调', '停车位', '天然气', '电话/网络', '暖气', '扶梯', '上水', '下水', '排烟', '排污', '管媒', '380V', '可明火', '外摆区']",[],[]
