岗位职称,工作经验,学历要求,工作类型,公司发展,工作地点,工资,工作福利,公司名称
Java工程师,3-5年,本科,全职,B轮,上海,12k-24k,快来跟牛逼的团队一起战斗！,有鱼金融科技
JAVA开发工程师,1-3年,大专,全职,不需要融资,南宁,6K-8K,完善的薪酬福利制度，畅通的晋升发展平台,蛋卷科技
Java,不限,大专,全职,不需要融资,深圳,7k-12k,福利好 空间大 美女多 加班少,博悦科创
Java工程师,3-5年,本科,全职,D轮及以上,上海,20k-35k,"风口平台,技术驱动,系统重构",达达-京东到家
Java开发工程师,3-5年,本科,全职,不需要融资,武汉,10k-14k,"高薪,发展平台大,高质量团队,六险一金",武汉佰钧成技术有限公司
java开发工程师,5-10年,大专,全职,B轮,北京,10k-20k,福利待遇好 发展前景大,惠民网
Java工程师,3-5年,本科,全职,不需要融资,北京,15k-25k,"股票期权,绩效奖金",家园网
JAVA开发工程师,5-10年,本科,全职,不需要融资,廊坊,15k-20k,"带薪年假,六险一金,补充医疗,年终奖金",微创
java开发工程师,3-5年,本科,全职,上市公司,上海,15k-25k,"上市公司,半年调薪,员工旅游,免费三餐",泛微
JAVA开发工程师,3-5年,不限,全职,不需要融资,天津,8k-16k,"五险一金,年终体检,年底旅游,办公环境好",武汉佰钧成技术有限公司
Java工程师,3-5年,本科,全职,不需要融资,北京,14k-22k,"股票期权,绩效奖金",家园网
Java开发工程师,3-5年,本科,全职,D轮及以上,北京,20k-35k,免费班车 技术大牛,美团点评
Java工程师,3-5年,本科,全职,C轮,重庆,10k-20k,六险一金、技术大牛、高速成长,猪八戒网
Java,3-5年,大专,全职,B轮,杭州,15k-30k,"扁平化管理,年终奖金,带薪休假,旅游活动",浙江执御信息技术有限公司
java开发工程师,1-3年,本科,全职,上市公司,烟台,6k-12k,"五险一金,餐补,带薪年假,节假日福利",信雅达
JAVA开发-恒大,3-5年,本科,全职,不需要融资,深圳,9k-18k,福利待遇好，发展空间大,博悦科创
Java开发工程师,3-5年,大专,全职,未融资,长沙,8k-12k,"五险一金,带薪年假,加班补贴,节日福利",新航动力
JAVA开发工程师,3-5年,不限,全职,B轮,武汉,10k-15k,"完全扁平化,团队氛围好,弹性上班制,老司机带队",宁美国度
高级JAVA开发工程师,5-10年,本科,全职,C轮,北京,25k-35k,"五险一金,工作居住证,带薪假期,商业医疗",PINTEC
Java工程师,1-3年,大专,全职,不需要融资,洛阳,4k-6k,"五险一金,双休,节日福利",神州数码通用软件
JAVA研发工程师,1-3年,本科,全职,上市公司,苏州,10k-20k,"福利待遇优,五险一金,上五休二,有食堂",金诚集团
java,5-10年,本科,全职,不需要融资,北京,20k-35k,"大平台,互联网生态,技术氛围好",思源科技
Java开发工程师,3-5年,大专,全职,不需要融资,上海,10k-15k,"五险一金,年终奖,体检旅游,过节费",江苏亿科达
Java,3-5年,本科,全职,上市公司,上海,15k-20k,工作日美味三餐、舒心的工作氛围、半年调薪,泛微
JAVA开发工程师,5-10年,本科,全职,D轮及以上,北京,20k-40k,"大平台,技术氛围好,发展空间大,福利待遇好",美团点评
java开发工程师,3-5年,大专,全职,不需要融资,天津,8k-16k,"六险一金,做五休二,带薪年假,年度体检",武汉佰钧成技术有限公司
Java开发工程师,3-5年,大专,全职,不需要融资,上海,10k-15k,"五险一金,年终奖,体检旅游,过节费",江苏亿科达
java开发,3-5年,本科,全职,A轮,上海,15k-25k,"五险一金,带薪年假,节假日福利,经常团建",若初医助
Java工程师,5-10年,本科,全职,C轮,北京,18k-28k,"技术大咖,弹性工作,七险一金,地铁周边",51社保网
Java研发,3-5年,本科,全职,不需要融资,杭州,15k-25k,"央媒平台,景区环境,技术驱动,双休福利好",新移传媒
Java工程师,3-5年,本科,全职,不需要融资,北京,15k-25k,"股票期权,绩效奖金",家园网
Java开发工程师,3-5年,本科,全职,不需要融资,北京,15k-30k,"系统架构,技术挑战,移动互联,极客大牛",丽兹行
Java工程师,3-5年,大专,全职,不需要融资,深圳,8k-15k,加班少 福利好,博悦科创
Java工程师,3-5年,本科,全职,B轮,北京,15k-25k,"产品灵魂师,接口高手",InnoTREE
Java开发工程师,5-10年,本科,全职,不需要融资,廊坊,15k-20k,六险一金 带薪年假 节日福利 领导nice,微创
Java工程师,3-5年,本科,全职,上市公司,杭州,10k-17k,五险一金 周末双休 餐饮补贴 带薪年假,网营科技
Java,3-5年,不限,全职,不需要融资,杭州,12k-24k,一年两次加薪+项目奖励 发展空间大,车纷享
