网络维护员,陕西健驰生物药业有限公司,2-4千/月,西安-雁塔区|1年经验|招1人|05-05发布,
技术支持工程师（西安）,山大地纬软件股份有限公司,4-8千/月,西安-碑林区|无工作经验|本科|招2人|05-05发布|计算机工程 软件工程,五险一金|通讯补贴|员工旅游|带薪年假|节日福利|绩效奖金
软件开发工程师(ERP),力成半导体（西安）有限公司,,西安|2年经验|本科|招若干人|05-05发布|信息管理和信息系统 计算机科学与技术,五险一金|补充医疗保险|免费班车|年终奖金|绩效奖金|定期体检|员工旅游|专业培训
数据库工程师,西安绿点信息科技有限公司,6-8千/月,西安|无工作经验|招1人|05-05发布,五险一金|通讯补贴|绩效奖金|年终奖金|定期体检|弹性工作
宣传策划,西安世园物业管理有限责任公司,2.5-3.5千/月,西安|2年经验|大专|招1人|05-05发布,带薪年假|加班补贴|包吃|节日福利|全勤奖|餐饮补贴|专业培训|通讯补贴|购买社保|朝九晚五
高级软件架构师,西安华信智慧数字科技有限公司,1.2-2万/月,西安-雁塔区|无工作经验|招2人|05-05发布,做五休二|周末双休|带薪年假|五险一金|节日福利|专业培训|通讯补贴
CTO-技术总监,西安道恩网络科技有限公司,1.5-2.5万/月,西安|5-7年经验|本科|招1人|05-05发布,五险一金|绩效奖金|专业培训|弹性工作|年终奖金|节日福利|员工旅游
新媒体运营编辑,西安欧绅兔图书文化传播有限公司,6-8千/月,西安|2年经验|本科|招3人|05-05发布,
技术支持与维护工程师,陕西先达智能科技有限公司,4-6千/月,西安-雁塔区|1年经验|大专|招2人|05-05发布|英语一般|计算机科学与技术 计算机应用,交通补贴|餐饮补贴|绩效奖金|年终奖金|股票期权|五险一金
自动售货机补货员,杭州新鲜部落科技有限公司,4-7千/月,西安|1年经验|中技|招若干人|05-06发布,
IT基础架构(职位编号：531631),西安吉利汽车有限公司,6-8千/月,西安-经济技术开发区|无工作经验|招2人|05-06发布,
ITSM/DevOps高级咨询顾问,上海速邦信息科技有限公司,1-1.5万/月,西安|5-7年经验|硕士|招1人|05-06发布,五险一金|专业培训|弹性工作|年终奖金
项目经理/西安,深圳市前海亿车科技有限公司,0.8-1.5万/月,西安|5-7年经验|本科|招1人|05-06发布,周末双休|弹性工作|带薪年假|五险一金|绩效奖金|专业培训|年度调薪|免费下午茶
机械维护工程师,西安奥若特材料技术有限公司,4.5-6千/月,西安-阎良区|3-4年经验|大专|招2人|05-06发布,专业培训|五险一金|周末双休|加班补贴|带薪年假
ERP技术支持工程师,陕西锐力信息技术有限公司,4-6千/月,西安|无工作经验|大专|招3人|05-06发布|普通话良好,五险一金|绩效奖金|节日福利|年终奖金|专业培训
SAP实施顾问（PP/MM/FICO）(J10154),西安诺瓦电子科技有限公司,1-2万/月,西安|3-4年经验|本科|招3人|05-06发布,五险一金|员工旅游|餐饮补贴|专业培训|年终奖金|定期体检|司龄假期
业务拓展经理(SAAS业务),万帮新能源投资集团有限公司,4.5-6.5千/月,西安|1年经验|大专|招2人|05-06发布,五险一金|员工旅游|年终奖金|绩效奖金|餐饮补贴|定期体检
Web开发工程师（西安/清洁能源）,隆基绿能科技股份有限公司,0.8-1万/月,西安-未央区|5-7年经验|本科|招若干人|05-06发布,周末双休|弹性工作|带薪年假|五险一金|包吃|免费班车|绩效奖金|全勤奖|节日福利|交通补贴
医疗器械维护工程师（月薪6K+）,陕西华信医疗设备器械有限公司,6-8千/月,西安-雁塔区|3-4年经验|大专|招2人|05-06发布,五险一金|绩效奖金|弹性工作
销售经理,深圳市龙控智能技术有限公司,6-8千/月,西安|无工作经验|招若干人|05-06发布,五险一金|员工旅游|年终奖金|专业培训|定期体检
Java高级开发工程师（西安）,广州亿程交通信息集团有限公司,1-1.5万/月,西安-高新技术产业开发区|5-7年经验|大专|招1人|05-06发布,五险一金|免费班车|年终奖金|员工旅游|绩效奖金|定期体检
UPS安装和维护工程师,美图（中国）机电设备有限公司,4.5-6千/月,西安|2年经验|大专|招若干人|05-06发布,专业培训|通讯补贴|餐饮补贴|五险|周末双休|绩效奖金|交通补贴
客服专员/助理,西安卓越软件开发有限公司,3-5千/月,西安|1年经验|本科|招2人|05-06发布|软件工程 计算机信息管理,五险一金|带薪年假|高温补贴|通讯补贴|绩效奖金|全勤奖|节日福利|弹性工作|商业保险
Python开发工程师,上海久耶供应链管理有限公司,7-9千/月,西安-高新技术产业开发区|2年经验|本科|招2人|05-06发布,五险一金|绩效奖金|定期体检|专业培训|出国机会
项目维护工程师,北京亚控科技发展有限公司,4-6千/月,西安|无工作经验|本科|招3人|05-06发布,
运营专员,宁夏华宝枸杞产业有限公司,3-4.5千/月,西安|无工作经验|大专|招1人|05-06发布,五险一金|餐饮补贴|绩效奖金|年终奖金
数据开发工程师,北京先进数通信息技术股份公司,4-8千/月,西安|3-4年经验|本科|招2人|05-06发布|计算机科学与技术,五险一金|餐饮补贴|定期体检|年终奖金
