销售经理,西安全力行房地产咨询有限公司,6-8千/月,汉中,3-4年经验,大专,招1人,04-02发布,五险一金|补充医疗保险|出国机会|员工旅游|绩效奖金|年终奖金
安全业务高级工程师,中国电信集团系统集成有限责任公司西安区域中心,4-8千/月,西安,2年经验,本科,招5人,04-03发布,
银行大数据开发储备岗/实习生,陕西摩天黑石教育科技有限公司,2-3千/月,西安-碑林区,无工作经验,大专,招3人,05-20发布,
化工软件文档工程师,陕西敏捷装饰工程有限公司,4.5-6千/月,西安-高新技术产业开发区,无工作经验,大专,招3人,03-22发布,
数据分析专员,美菜网,4.5-6千/月,西安,2年经验,大专,招若干人,03-28发布,五险一金|带薪年假|节日福利|绩效奖金|通讯补贴|高温补贴|补充公积金|专业培训|年终奖金|股票期权
链家销售代表+无责底薪3000,西安链家总部,4.5-6千/月,西安,无工作经验,大专,招5人,05-16发布,五险一金|弹性工作|带薪年假|高温补贴|专业培训|节日福利|绩效奖金
链家校园招聘/大平台，有保障,西安链家总部,4.5-6千/月,西安,无工作经验,大专,招5人,05-16发布,五险一金|弹性工作|带薪年假|高温补贴|专业培训|节日福利|绩效奖金
解决方案工程师(高薪+五险一金+双休),西安政通信息技术有限公司,1.5-2万/月,西安-高新技术产业开发区,5-7年经验,本科,招1人,05-16发布,周末双休|带薪年假|五险一金|节日福利|交通补贴|餐饮补贴|员工旅游|定期体检|年终奖金
链家房产销售+西安市100多家店/就近安排,西安链家总部,4.5-6千/月,西安,无工作经验,大专,招5人,05-16发布,五险一金|弹性工作|带薪年假|高温补贴|专业培训|节日福利|绩效奖金
技术经理,西安交大长天软件股份有限公司,1.5-2万/月,西安,10年以上经验,本科,招1人,05-16发布,五险一金|补充医疗保险|员工旅游|交通补贴|餐饮补贴|专业培训|绩效奖金|年终奖金
数据分析师,西安交大长天软件股份有限公司,1-1.5万/月,西安,3-4年经验,本科,招1人,05-16发布,五险一金|员工旅游|餐饮补贴|通讯补贴|绩效奖金|年终奖金|加班补贴|节日福利
Web安全SaaS服务研发(J11624),绿盟科技,1-1.8万/月,西安-高新技术产业开发区,1年经验,本科,招若干人,05-16发布,五险一金|补充医疗保险|员工旅游|餐饮补贴|专业培训|绩效奖金|年终奖金|弹性工作|定期体检
售前方案经理（西安）,山南远宏科技有限公司,0.8-1.5万/月,西安-莲湖区,3-4年经验,大专,招1人,05-15发布,五险一金|餐饮补贴|绩效奖金
数据分析师（实习生）,陕西文都教育科技有限公司,2-4千/月,西安-雁塔区,无工作经验,硕士,招3人,05-15发布,周末双休|带薪年假|弹性工作|节日福利|专业培训|高温补贴|五险一金|员工旅游
贝壳找房/急聘房产经纪人,陕西链家,4-6千/月,西安,无工作经验,大专,招10人,05-15发布,绩效奖金|节日福利|五险一金
高级开发工程师,华为三立（北京）能源科技有限公司,20-30万/年,西安-雁塔区,无工作经验,本科,招2人,05-16发布,
空间数据处理工程师,中科星图股份有限公司,0.8-1万/月,西安-国家民用航天产业基地,3-4年经验,本科,招3人,05-16发布,五险一金|补充医疗保险|员工旅游|交通补贴|餐饮补贴|专业培训|绩效奖金|股票期权|弹性工作|定期体检
大数据运维,南京烽火星空通信发展有限公司,1-2万/月,西安-高新技术产业开发区,2年经验,本科,招2人,05-16发布,五险一金|补充医疗保险|年底双薪|交通补贴|餐饮补贴|定期体检
大数据高级开发工程师,西安政通信息技术有限公司,1-1.5万/月,西安-高新技术产业开发区,3-4年经验,本科,招2人,05-16发布,
大数据工程师（spark/scala后端开发）,汇纳科技股份有限公司,1-1.5万/月,西安,2年经验,本科,招1人,05-17发布,五险一金|交通补贴|餐饮补贴|股票期权|定期体检
大数据应用开发工程师（西安）,新华三技术有限公司,,西安,无工作经验,本科,招若干人,05-18发布,
项目经理/大数据销售经理,陕西淘丁实业集团有限公司,0.8-1万/月,西安-长安区,无工作经验,大专,招若干人,05-16发布,
云平台数据库开发工程师(高级),研华（中国）有限公司,1-2万/月,西安-高新技术产业开发区,3-4年经验,本科,招1人,04-08发布,五险一金|补充医疗保险|员工旅游|餐饮补贴|年终奖金|定期体检|年底双薪|节日福利|绩效奖金
销售经理(职位编号：001),西安四叶草信息技术有限公司,1-1.5万/月,西安-高新技术产业开发区,3-4年经验,大专,招20人,04-08发布,
大数据业务方向--大数据架构师,北京思特奇信息技术股份有限公司陕西分公司,2-2.5万/月,西安-高新技术产业开发区,5-7年经验,硕士,招1人,05-20发布,补充医疗保险|五险一金|交通补贴|餐饮补贴|通讯补贴|专业培训|定期体检|绩效奖金
技术总监,陕西百格数据科技有限责任公司,1-1.5万/月,西安-高新技术产业开发区,无工作经验,本科,招2人,04-10发布,补充医疗保险|五险一金|弹性工作|年终奖金|餐饮补贴|绩效奖金
IT培训讲师,北京中公教育科技股份有限公司,1-1.5万/月,西安-新城区,无工作经验,本科,招18人,04-13发布,五险一金|专业培训|定期体检|年终奖金
销售BD,美菜网,0.6-1万/月,西安,1年经验,大专,招2人,04-11发布,弹性工作|带薪年假|五险一金|节日福利|绩效奖金|交通补贴|通讯补贴
Java开发工程师,西安中麦通讯科技有限公司,6-8千/月,西安-雁塔区,5-7年经验,大专,招若干人,04-12发布,
运营专员,西安点告网络科技有限公司,0.5-1万/月,西安-雁塔区,2年经验,招若干人,04-14发布,英语,弹性工作
贝壳一手新房销售 月入过万不是梦,陕西贝壳闹海房地产经纪有限公司,1-1.5万/月,西安-灞桥区,无工作经验,大专,招4人,05-19发布,
JAVA开发工程师(职位编号：tiancom000559),广州天维信息技术股份有限公司,0.6-1万/月,西安,1年经验,本科,招5人,05-16发布,五险一金|专业培训|绩效奖金|餐饮补贴|定期体检|股票期权|员工旅游
运维工程师（陕西管局）,北京亚鸿世纪科技发展有限公司,5-8千/月,西安,1年经验,本科,招若干人,05-16发布,五险一金|餐饮补贴|通讯补贴|员工旅游|定期体检|节假日福利|带薪年假|结婚生子贺仪|生日会和礼物|年终奖金
高级java web全栈工程师,西安博恩生物科技有限公司,1.5-2万/月,西安-雁塔区,5-7年经验,本科,招1人,05-16发布,五险一金|绩效奖金|员工旅游|交通补贴|通讯补贴|周末双休|年终奖金
售前顾问,金蝶软件西安分公司,0.6-1.2万/月,西安,5-7年经验,本科,招2人,05-16发布,五险一金|员工旅游|专业培训|定期体检|交通补贴|绩效奖金|补充医疗保险|年终奖金|弹性工作|通讯补贴
数字营销运营经理,西安互动未来信息技术有限公司,0.8-1万/月,西安-高新技术产业开发区,3-4年经验,大专,招2人,05-16发布,五险一金|补充医疗保险|员工旅游|交通补贴|餐饮补贴|通讯补贴|出国机会|绩效奖金|股票期权
技术支持工程师(J10280),北京天融信科技有限公司,1-1.5万/月,西安-雁塔区,3-4年经验,本科,招5人,05-16发布,五险一金|补充医疗保险|交通补贴|餐饮补贴|年终奖金
Python开发工程师,上海蒙帕信息技术有限公司,0.8-1.3万/月,西安-高新技术产业开发区,3-4年经验,大专,招1人,05-17发布,员工旅游|交通补贴|餐饮补贴|通讯补贴|专业培训|绩效奖金|年终奖金|六险一金
